Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
UXR-7207,3638347803101,René Julián Cabezas,Toyota,Hilux,2013,4,2
NUB-6096,6741666963025,Álvaro Pascual Oller Ramón,Kia,Picanto,2005,1,2
YPK-9145,5352311780173,Benito Barceló Nadal,Mazda,BT-50,2008,4,2
BXH-9368,7954105022435,Adelia Luna-Caballero,Honda,CR-V,2003,0,3
EIX-4665,4530365239674,Herberto Duque-Andrés,Kia,Sorento,2006,2,2
EVN-0347,9999999933,olegario ,Honda,Civic,2022,4,4
MTS-3142,2081226991054,Otilia de Lucas,Toyota,Corolla,2002,2,0
JXS-2434,8917623127917,Aureliano Perelló Simó,Mazda,6,2006,0,2
SLM-2968,7107261510852,Blas Bernal Gaya,Toyota,Yaris,2021,5,2
MDC-2361,5620031712482,Mamen Somoza Posada,Kia,Sportage,2022,4,3
WBC-7764,6899065057247,Vinicio Borja Barrena,Honda,Civic,2000,1,0
WER-3195,1559616101867,Diego Rosselló Rios,Hyundai,Santa Fe,1995,5,1
ICP-7895,2126920805175,Alexandra Escobar Leiva,Kia,Picanto,2011,0,0
FWJ-2123,8025182554233,Abilio Galvez Yáñez,Mazda,BT-50,2011,1,3
WXX-9199,4389175918734,Amelia Andrade Grau,Mazda,3,2008,0,0
SHF-7324,6998445422846,Moreno Giménez Valcárcel,Mazda,CX-5,2014,2,0
COX-9106,8765609163383,Emilia Iniesta Puente,Hyundai,Accent,2019,1,3
PVB-4573,8235268443407,Ciriaco Cózar Montenegro,Toyota,Hilux,2024,5,2
APC-0005,1707240899271,Lázaro de Bernad,Hyundai,Accent,1996,4,2
LHN-1648,4222788031993,Reyes Tormo-Olivera,Hyundai,Accent,2010,2,2
OTS-3630,3712033881241,Luciana Benítez Fortuny,Toyota,RAV4,2013,3,2
BXV-7241,5378116676298,Roberto Castillo Cordero,Mazda,CX-5,2019,4,2
BOI-0354,4941174360200,Celia Pino Estévez,Honda,CR-V,2018,0,2
ZTI-3567,5715218903769,Clotilde del Ocaña,Toyota,Corolla,2011,2,3
QVO-5498,8146780499917,Moisés Soria Cabeza,Hyundai,Accent,2018,0,3
LVM-1852,1022299234268,Florina Pablo,Mazda,CX-5,2017,5,0
ZDB-0150,6386233273940,Loida María Pilar Zurita Parra,Hyundai,Tucson,2018,5,3
TNT-7281,5025728604314,Morena Pol Vilalta,Kia,Rio,2023,4,1
QHA-5267,9807865177423,Consuelo Rico Ferrer,Kia,Rio,2009,3,2
TDL-2291,2037022313497,Fabián del Bolaños,Mazda,BT-50,2014,3,3
GMI-0445,4291967337618,Carmela Dueñas Méndez,Mazda,BT-50,2014,5,0
SJI-5884,8664594174680,Martín Maximino Ugarte Tejera,Honda,Accord,1995,3,1
MSO-7066,4008816514647,Gervasio Borja Sanmartín Chacón,Toyota,RAV4,2022,0,3
KQT-2128,3143703688639,Valentín Ángel Donoso,Hyundai,Santa Fe,2020,1,3
SKR-6897,9518470901404,Consuelo Lucía Ballester Mendez,Hyundai,Accent,2003,4,0
IND-1246,4622310062029,Fabio Ríos Fajardo,Kia,Sorento,2003,3,2
NWF-7789,4441423120371,Adelaida Galan Cantero,Toyota,Yaris,2004,1,2
RUG-7758,5883916721784,Maximiano Villalonga Cid,Kia,Sportage,2010,3,0
JUV-3043,4036408998663,Reynaldo Salom-Tomé,Mazda,CX-5,2013,1,1
ZUW-3391,1975690558327,Camila Canales Alberdi,Kia,Sportage,2001,1,2
DRP-2836,1645215942912,Loreto de Solera,Kia,Picanto,2019,2,2
QEM-7600,2398235086035,Victor Manuel Sanz Camacho,Hyundai,Santa Fe,2019,2,3
PDF-4044,5834975160890,Leocadio Barreda Guzman,Honda,Accord,2024,5,1
XLO-1503,2286368382365,Carmen Carro Rodríguez,Kia,Sorento,2007,2,2
NVM-9167,3308757910612,Omar Real Garmendia,Kia,Sorento,2018,5,0
JBU-0919,6023115795965,Tomasa Lozano Escudero,Kia,Sportage,2006,3,3
GOG-9849,5942531287589,Hipólito Rosa,Kia,Rio,2015,1,3
AVG-4189,5427553616940,Trinidad Ángela Martorell Martinez,Toyota,Hilux,2004,0,3
WOY-7169,3013294758023,Isabel Bello Zorrilla,Kia,Sorento,2009,0,1
IDL-9759,7389048056234,Isidora Sevilla-Valencia,Kia,Sportage,2024,3,3
QKY-8636,3471918716462,Leire Bautista Cuenca,Toyota,RAV4,2019,1,0
YJV-3639,4516547726640,Ana Sofía Lourdes Zabala Lerma,Kia,Sorento,2017,5,0
ONM-9842,6622853551294,Pelayo José Mari Mate Alcalde,Kia,Rio,2011,0,3
EBN-4884,3232813105631,Maximiano Requena Poza,Kia,Sportage,1995,0,2
SFV-0253,8562780103445,Trini Flora Blasco Solana,Honda,Fit,2006,4,3
CHI-8725,8634999148101,Pacífica Tejero-Carpio,Mazda,CX-5,1995,3,0
GLQ-2719,7339113627512,Candela Campoy,Toyota,Yaris,2015,0,0
RCB-4598,6080793615263,Pío Tormo Vallés,Toyota,Yaris,2016,2,1
CKV-3420,5641487551949,Yago Maximiano Cadenas Cabello,Hyundai,Elantra,1998,3,0
DTG-2750,7589541779491,Manola Gil Alcolea,Mazda,BT-50,2016,2,3
PJL-2627,6544608325437,Julio de Arnaiz,Mazda,BT-50,2003,2,0
BYH-7503,8480737531110,Noé David Vera Requena,Mazda,6,1995,5,2
DKV-2312,7967792086056,Joel Mateo Díez,Honda,CR-V,2002,1,3
JTP-0617,6427798102528,Salud Yáñez Ortega,Hyundai,Accent,1999,5,2
XWB-3999,7440760347561,Manola Madrigal Barriga,Kia,Sorento,2008,2,1
HTG-5712,6542611921392,Che Portillo Gallart,Hyundai,Elantra,2015,0,3
UFN-0948,8613668746779,Hilario Pomares Escalona,Honda,Civic,2004,2,1
DCN-0730,5406775834648,Eliseo Lucas-Benavides,Hyundai,Santa Fe,2005,3,1
VEM-3889,5771973393595,Chus Trillo-Bueno,Hyundai,Accent,2019,0,3
SCB-2696,4730075501410,Maximiano Armas Morcillo,Toyota,Hilux,2013,0,1
CGD-4656,8155829156602,Humberto Berrocal Bustos,Mazda,3,2014,4,2
GJF-7896,3530825622110,Agustina Almazán-Agudo,Toyota,Yaris,2018,2,0
TDM-1178,6018007485057,Ciriaco Soria,Kia,Rio,2007,5,1
KLK-9388,7668865063004,Adelia Herrero Mata,Mazda,BT-50,2001,0,0
CVX-0849,2969400669524,Teodosio Zamorano Valbuena,Honda,CR-V,2007,3,0
XNU-1014,2725620299654,Guadalupe Sanz Segovia,Hyundai,Elantra,2024,4,3
GCV-8291,3585686713025,Marcelino del Santamaría,Toyota,Corolla,2018,2,0
IAW-4801,4855339972930,Lisandro de Romero,Mazda,CX-5,2006,4,1
DOC-9719,9240394531490,Carmela Ayala Olivé,Mazda,3,2009,0,3
OOV-8175,9962018398714,Flor Roldan Chacón,Kia,Picanto,2002,2,2
GBP-7106,7398042232279,Joaquina Caballero,Honda,CR-V,2017,5,2
YIK-1956,1132468855467,Cosme Manjón Marqués,Hyundai,Accent,2017,4,3
NPT-2754,5052075475175,Celia Cobos Rozas,Hyundai,Tucson,2021,2,2
DXE-9555,8664427446258,Claudia Font Pérez,Toyota,Yaris,2024,5,1
WFN-4931,2426804584882,Itziar Pineda Rivero,Hyundai,Elantra,2022,4,0
URX-3161,7373108395591,Genoveva de Morante,Mazda,3,2020,5,2
UAH-9241,8279435104206,Nico Zamorano,Kia,Sorento,2024,1,3
COJ-3697,6066473972446,Regina Marianela Clavero Posada,Mazda,6,2014,5,2
