Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
HOR-5430,2061836843274,María Salcedo Pascual,Hyundai,Tucson,2024,5,2
AZA-3601,5566988122986,Pelayo Miguel Maldonado,Honda,Civic,2010,1,2
EHB-8163,8164386637135,Ester Pardo Cabello,Toyota,Hilux,1999,2,1
QDL-4165,2904325040487,Marco Duarte Lara,Honda,Civic,2016,0,1
RLS-6730,8189823254257,Ignacia Capdevila,Hyundai,Tucson,2001,3,1
NPJ-1771,1774108878771,Godofredo Ochoa Chaves,Kia,Sportage,2010,1,1
UAP-0804,2571547891293,Fernando Espada Manjón,Hyundai,Accent,2011,5,1
PYH-4197,8216369055588,Petrona Moya Perea,Honda,Civic,2013,4,2
JRW-7157,2196123762579,Sandra Plaza Arregui,Mazda,3,2008,3,0
ALH-0207,9407900900583,Bernabé Ródenas Fortuny,Honda,Civic,2011,0,1
WHT-4378,7837377217219,Darío Barrera Tapia,Hyundai,Elantra,2018,1,2
ZMC-7252,9183764465673,Jordana Casas,Hyundai,Santa Fe,2018,1,3
BOM-6183,9967963472618,Buenaventura Cuesta-Avilés,Toyota,Hilux,2014,3,1
MVL-3621,2138711156916,Jenaro Gálvez-Millán,Honda,Fit,1998,2,0
YJJ-5895,7697343434136,Nayara Prats Domínguez,Kia,Sportage,2010,0,3
GWP-6479,6337296765182,Rico Ferrer Carmona,Mazda,BT-50,2014,1,0
OJK-7593,5624018586386,Caridad Rosalina Alcaraz Tolosa,Kia,Sorento,2004,0,1
IEU-9750,7700383291628,Gregorio Río Patiño,Mazda,3,2012,2,2
DER-6274,3863002149344,Bernarda Mireia Gabaldón Pazos,Toyota,RAV4,2012,3,0
DJD-3754,4239262867236,Leocadia Campos Rivera,Honda,Civic,2007,2,2
XWL-8269,6018175316564,Guiomar de Comas,Kia,Rio,2012,2,2
TDA-1330,4389464245335,Ofelia Codina Ordóñez,Toyota,Hilux,2002,1,3
ATY-4303,6350783584013,Juan Francisco Torrents Ibarra,Kia,Picanto,2015,1,2
WHR-6689,1359026899306,Jordi Molina Castrillo,Toyota,RAV4,2015,4,2
IAM-1152,2820923305452,Ángel Lobato Espinosa,Kia,Picanto,2021,1,3
IBZ-5105,3932396018934,Isaac Mora Terrón,Mazda,CX-5,2021,2,2
GAH-4153,3805933925721,Rosalva Murillo Bayón,Toyota,RAV4,2012,3,1
WYC-7744,7671923402756,Micaela del Jordán,Toyota,Yaris,2013,2,2
EFM-1032,7866918862758,Antonia Araujo-Coca,Honda,CR-V,2016,5,3
RUM-1722,1572761723292,Gema Rivero Ribes,Honda,Accord,1999,2,0
SIY-0525,3679012925276,Isabela Lladó Agustí,Toyota,Hilux,2024,4,3
MJU-8870,1207929028565,Rafaela Amelia Franch Pozuelo,Hyundai,Santa Fe,2007,1,2
