Placa,DPI,NuevoPropietario,Fecha
VTR-4930,6465460007196,María Luisa Domingo Godoy,2024-02-29
VTR-4930,9947122083292,Edgardo Franch-Doménech,2016-04-13
VTR-4930,4145231274795,Ruth Moraleda Barrios,2023-09-29
JDA-1989,8712136425918,Begoña Martorell-Cózar,2022-08-06
OUF-7455,7466978917123,Rosenda Victoria Barroso Torralba,2019-05-28
OUF-7455,5661467504551,José Manuel Madrid,2018-05-25
OUF-7455,6417497781816,Joel Castillo Torralba,2024-12-11
WVO-7820,6517239847305,Adela Lucas Castillo,2018-05-24
FMD-8820,9021515277754,Adela Conde Abella,2021-12-23
FMD-8820,5292699548612,Miguel Ángel Bastida Arjona,2016-11-17
FMD-8820,4688667930904,Narcisa Salcedo Dalmau,2015-01-04
AQA-6476,5897786427384,Teodora Ros Alvarez,2022-08-31
AQA-6476,4543297510334,Marc Losa Zamora,2024-10-26
MDT-5085,8949662974586,Feliciano Santiago Martín Alfaro,2021-08-08
MDT-5085,5095114246992,Vasco Garmendia Pizarro,2023-07-13
PXC-0896,6761191696078,Pili Roig Araujo,2020-07-07
PXC-0896,7617636703003,Angelina Salinas Clavero,2022-08-19
YDK-4053,5956949712182,Jacinto Pino Soriano,2021-03-13
YDK-4053,8665964693254,Vicenta Constanza Alcalá Arroyo,2022-04-17
YDK-4053,2512411027870,Begoña Rueda Cuéllar,2015-07-10
YUA-4953,3015168006355,Araceli Belen Cervantes Borja,2016-12-21
KZO-7958,3036615818320,Ariadna Pinilla Pinto,2018-06-15
KZO-7958,5105422207805,Julie María Del Carmen Aramburu Bárcena,2018-07-16
KZO-7958,4343423885017,Ruy Cadenas Barco,2021-07-04
ZSU-0556,8795863051074,Amarilis Sevillano Alonso,2016-11-17
ZSU-0556,6889230943091,Ascensión Sans Infante,2015-09-08
QBP-4531,4956595363311,Ainara Vidal-Heras,2024-10-11
QBP-4531,1770187274958,Íñigo Gallart,2021-01-30
QBP-4531,3406886376430,Juana José Carmona Contreras,2023-10-03
YNS-5464,1103879315553,Pancho Arenas,2023-11-01
YNS-5464,6297841647372,Loreto Ferrández-Duque,2020-04-21
SEI-1288,8395063274107,Jacinta del Báez,2021-03-23
SEI-1288,6324823747258,Edgardo Belda Quiroga,2020-03-27
CBO-7321,3392562743933,Feliciano Jordá,2022-09-27
CBO-7321,9196203567787,Manola Martirio Revilla Cabo,2016-05-08
CBO-7321,7096499277607,Joaquina Calatayud-Sevilla,2023-02-28
HPU-9788,8760573339274,Cipriano Guzman Molins,2020-10-13
HPU-9788,7772075209887,Mohamed de Planas,2015-04-29
HPU-9788,6309673782812,Ulises Moliner Agudo,2015-09-28
RQF-2401,3788438856457,Lope Gallardo Bauzà,2019-07-05
KRK-7328,9172976824462,Lino Cisneros Fuentes,2024-03-19
KRK-7328,5572076904801,Emiliana Benavente,2018-12-26
LVG-7849,5580817530061,Irene Pi Barceló,2024-03-11
LVG-7849,1540662555498,Alfonso Calzada Guzmán,2021-04-25
LVG-7849,2652123763156,Mateo Leiva Corbacho,2017-04-28
LCY-4676,5582673957895,Loreto del Escrivá,2018-07-18
LCY-4676,8677312589230,Miguel Revilla-Alcalde,2020-01-29
LCY-4676,1219916659684,Encarnación Pagès Busquets,2024-01-03
QQZ-7028,5489970813055,Oriana de Reguera,2023-05-08
QQZ-7028,2146705100618,Emiliana Redondo Gómez,2021-01-20
WVA-4520,7310144699044,Mohamed Morillo Mariño,2023-02-17
HYG-9989,2115468764087,Rómulo Tudela Talavera,2018-12-04
IEJ-3918,7863159518148,Hugo Manrique-Nieto,2017-07-05
IEJ-3918,3689110624625,Nicanor Tejera,2018-07-28
IEJ-3918,4185568522447,Chus Pina Echeverría,2015-07-20
KXN-8123,9464082812225,Esteban Alba Cabañas,2017-09-21
APW-7518,8901112152331,Rosendo Alegre Mayol,2015-06-28
TEO-7100,6780400609423,Amaya Cobo Serrano,2015-03-11
