Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
VTR-4930,2445417613391,Florinda Almeida Juárez,Mazda,6,2001,5,3
JDA-1989,5301219006010,Joaquina Cazorla-Torrijos,Honda,Civic,2013,0,1
DBK-3872,6061836951744,Oriana Pombo Lago,Hyundai,Santa Fe,1998,5,0
OUF-7455,2632620757649,Zaira Manzano-Coloma,Honda,Civic,2009,0,3
DGG-3971,3019635640876,Nieves Valenzuela Mayo,Hyundai,Elantra,2011,4,0
WVO-7820,4790896411277,Jordi Campillo Peinado,Hyundai,Elantra,2016,0,1
FMD-8820,7741205406717,Azahar Jordán Robledo,Toyota,RAV4,2019,0,3
AQA-6476,1851974239356,Emilio del Fiol,Toyota,RAV4,1999,0,2
UUO-0515,2953087430986,Lucas Esteban,Mazda,3,2024,4,0
FDV-8250,2570105387961,Aránzazu Adadia Alvarez,Hyundai,Accent,2005,3,0
MDT-5085,6883707507892,Edelmira Vidal Mateos,Honda,Accord,2007,1,2
PXC-0896,7086398956670,Rosa María Armas-Posada,Hyundai,Santa Fe,2006,1,2
YDK-4053,4006032728333,Gracia Ayuso Palomino,Hyundai,Elantra,2020,1,3
YUA-4953,7467997287118,Dominga Pardo Vallés,Toyota,Yaris,2000,1,1
KZO-7958,3987393605641,Borja Cánovas Garmendia,Toyota,Corolla,2014,2,3
ZSU-0556,3073869286965,Lorena Pardo,Kia,Sportage,2002,3,2
QBP-4531,9435965044807,Dimas Cañellas Caro,Kia,Picanto,1998,5,3
VKJ-4637,8529078344100,Luna Serrano Burgos,Mazda,3,1998,3,0
YNS-5464,3643034732058,Elisa Muñoz-Gracia,Toyota,Hilux,1995,2,2
SEI-1288,7977547874910,Blanca Gutierrez Lloret,Honda,Accord,2006,2,2
CBO-7321,5285304686177,Dionisio Roselló,Kia,Sportage,2021,3,3
RNH-4889,7558799766418,Marcos Iñiguez Céspedes,Toyota,Hilux,2024,5,0
TWR-9551,5421881684203,Merche Isern,Toyota,RAV4,2002,4,0
HPU-9788,6977117261483,Berto Rodrigo-Bonet,Toyota,Yaris,2005,1,3
RQF-2401,2283598346266,Mónica María Del Carmen Cañete Infante,Honda,Fit,2003,1,1
KRK-7328,4555587439030,Natanael del Pareja,Kia,Sorento,2005,2,2
LVG-7849,7250492446719,Guiomar Ferrández Navas,Honda,Civic,2010,2,3
LCY-4676,4694182058929,Pastora Abril Collado,Kia,Sportage,2018,3,3
HZL-7007,2286031155431,Ema Amor Hoyos,Kia,Sorento,2001,1,0
QQZ-7028,1441749936070,Belén Olmedo-Ibáñez,Hyundai,Accent,1996,0,2
WVA-4520,4778665001085,Lara Marcos Madrigal,Hyundai,Santa Fe,2023,2,1
HYG-9989,5811618869610,Pío Sacristán,Kia,Sorento,2000,1,1
IEJ-3918,8182372438120,Leocadio Pozo Casares,Kia,Sportage,1998,1,3
