Placa,DPI,NuevoPropietario,Fecha
CXF-2421,7696768780369,Corona de Briones,2015-09-12
CXF-2421,7007028318841,Ceferino Saldaña Pujadas,2017-12-25
HLP-3993,3109483440095,Cesar Codina Goñi,2018-02-19
HLP-3993,3027573543665,Martina Saez Vilaplana,2023-08-23
JBJ-5380,3345389484046,Encarnación Pellicer-Aparicio,2018-02-06
JBJ-5380,1331811958534,Fanny Hernandez,2023-04-20
JBJ-5380,2238865962039,Fulgencio Aranda Aguilar,2018-11-26
RCG-8223,3902291862311,Noemí Iglesia Guerra,2017-12-26
BAM-1593,5588916559671,Nazario Guillen Falcó,2020-12-24
AYV-8615,4166328267456,Xavier del Calzada,2015-02-22
AYV-8615,7385614404360,María Jesús Hernandez,2024-04-01
AYV-8615,1662612823581,Natalio Ballesteros Trillo,2015-11-06
STK-9966,8125104816821,Claudio Camacho Bastida,2015-08-08
EBR-2748,8340152850704,Hernán Estevez Casal,2022-06-05
EBR-2748,7548660921105,Virginia Alfaro Rosa,2023-04-18
AMK-0806,6268628387671,Calista del Orozco,2019-04-07
ZFG-9279,2524642385998,Mireia Ainoa Agullo Ballesteros,2023-04-01
ZFG-9279,3892479290911,Asunción Camino Arjona,2019-03-08
YNG-4240,8431303863532,Benjamín Bosch Caparrós,2016-11-11
YNG-4240,7516472662211,Miriam Losa Ferrer,2016-10-20
NFB-9354,6465802139272,Rufina Bonet Querol,2024-01-21
NFB-9354,4020563543753,Calista Anaya-Alcolea,2024-01-20
NFB-9354,9443918607344,Almudena Morena Conde Hierro,2018-07-04
FJA-1986,8171251311739,Itziar Cadenas,2015-08-10
FJA-1986,5551707630325,Clotilde Villar Gracia,2022-08-22
BNU-0355,8291834124730,Petrona de Arce,2019-07-09
BNU-0355,8502776507728,Macaria Sotelo-Torres,2022-08-03
PYN-8940,2756606509934,Jose Miguel Adadia Cordero,2022-10-11
PYN-8940,1746909883683,Isabel Donoso Cañas,2020-05-30
ORQ-3867,2438320554898,Francisco Jose Teófilo Prats Soria,2023-05-15
ORQ-3867,4289576224621,Eli del Amores,2020-08-07
ORQ-3867,2987257943855,Luz del Olivera,2021-04-09
CBR-1284,3343193240930,Celia Pazos Carballo,2017-03-02
CBR-1284,9542031063720,Crescencia Saldaña Torre,2023-11-28
CBR-1284,4130311899926,Jose Manuel Cortés Ríos,2024-05-07
XLN-0630,4038980873625,Javiera Nazaret Bárcena Lobato,2021-01-05
XLN-0630,6897420175588,Herberto del Fabra,2021-08-14
XLN-0630,5048613191689,Priscila del Espinosa,2016-10-24
QYK-0832,2136617673213,Eli Mulet Mir,2017-05-17
QYK-0832,6454832775958,Benita Ramírez Criado,2024-06-12
GLJ-8138,1136332623191,Jesús Salgado Pereira,2023-06-06
GLJ-8138,4168328217069,Cesar Ariño-Lucas,2015-06-14
TSH-7378,9447273584282,Cayetano Bermúdez,2016-10-05
IEV-1182,6717859689142,Fulgencio Gastón Álvaro Ferrera,2020-01-21
IEV-1182,5557219695826,Fortunato Benavent-Barceló,2019-02-08
IEV-1182,5939884593037,Zoraida Azahara Rosa Ferrández,2023-04-14
OIH-9746,9677951033272,Sancho de Arroyo,2024-08-02
OIH-9746,5713678420875,Carmela Fuertes Duran,2016-01-08
OIH-9746,8665338275811,Dulce Jiménez Martí,2020-01-26
SHG-9870,1967110809325,Mohamed Rodríguez-Mayol,2022-05-18
SHG-9870,8548987497895,Juana de Valverde,2015-03-29
SHG-9870,4315122717012,Trinidad Frutos Villar,2016-06-03
MVG-5842,2585716813768,Conrado Bilbao-Pina,2020-10-05
PSF-2184,5609674703014,Hernando Vall,2015-06-21
PSF-2184,2468552576208,Alcides del Vizcaíno,2021-07-06
PSF-2184,2074567336499,Bartolomé de Medina,2015-09-11
BWT-9653,7839517204908,Jose Francisco del Sanmiguel,2020-09-14
BWT-9653,7229692299833,Graciela Vazquez Ramírez,2021-05-18
BWT-9653,5447447984931,María Fernanda Villar Blanes,2016-07-15
ITH-3708,2951992531071,Armando Mancebo,2018-03-23
CPH-1663,9528602818700,Salvador Patiño,2017-04-27
DYZ-4199,7066141906642,Juan Francisco Hoyos Villalba,2017-01-13
DYZ-4199,1559956437881,Noelia Carpio Casares,2016-10-18
DYZ-4199,6658858334824,Mariano Galán-Alegria,2023-05-03
RTK-5557,5970606221036,Paulina Castilla,2018-09-22
RTK-5557,8682199899407,Edu Crespi Martorell,2016-03-13
IUN-8925,3332590397518,Nicodemo Soria,2024-06-18
RZH-5082,1934806284359,Jose Francisco Jose Manuel Guardiola Morante,2022-06-18
RZH-5082,3057882669594,Ariadna Ramirez Sobrino,2017-04-12
RZH-5082,3960812085847,Aurelio Miralles Carmona,2020-03-16
ENK-9765,5314685407881,Juan Bautista Tello Ferrándiz,2024-11-04
ENK-9765,3183495675908,Cleto Belda Roig,2016-12-21
LTC-9045,6143182494629,Santos Quesada,2019-12-02
VXW-4902,8027063998315,Feliciano Rebollo Cervantes,2021-11-24
UBQ-5393,6672385546838,Joan Giménez Herrera,2017-02-08
ZAD-7051,1216307013241,Jonatan Perelló Gracia,2024-07-08
ZAD-7051,8217283478847,Santiago Hernandez-Quintero,2021-01-20
PNI-1844,5500661121327,Asdrubal Alcázar-Saldaña,2018-10-27
QWI-1218,9499409286013,Jose Francisco Montero-Castellanos,2019-12-18
QWI-1218,1491655445925,Angelino Escrivá-Canals,2019-04-20
QWI-1218,9877407297522,Joaquina Cuervo Becerra,2017-05-29
HOD-8211,1299551633272,Jose Antonio Galiano Peláez,2024-03-02
HOD-8211,3249394317955,Toni Hilario Jaume Flor,2019-07-09
HOD-8211,4079963112086,Ángel Serrano Baena,2023-12-07
JUY-3115,4602240509933,Camilo Díez Guardia,2024-02-16
SGJ-2638,3625607645086,Vicente Guitart Cazorla,2015-05-27
SGJ-2638,3729169014703,Luisina Morán Valenzuela,2018-05-26
NHZ-5399,8898182888533,Miguel Ángel Valcárcel Alberdi,2017-09-17
NHZ-5399,4006110964573,Herberto Ochoa Mate,2021-11-13
CVP-2294,5888725944093,Ceferino Gargallo Miranda,2024-10-13
CVP-2294,6338628563605,Gisela Azcona,2016-12-23
CVP-2294,9585077338895,León Casado Palma,2022-05-23
JMI-0497,1351855181218,Sabas del Palomar,2021-10-30
JMI-0497,2725820323526,Trinidad Aller Bastida,2018-02-23
UET-0122,9074162644414,Priscila Alcántara Pinilla,2017-06-09
UET-0122,7877198753693,Áurea Cañete Pereira,2020-12-22
TAP-2137,4882636603164,Luisa Torrijos Toledo,2016-02-09
TAP-2137,3895272136777,Nayara Alarcón-Real,2015-12-20
OZI-5617,9735057833531,Heriberto Cabrero Montalbán,2021-04-26
MID-1525,5764351660005,Jordán Andrade Catalán,2023-05-25
HOB-5920,9288173424353,Lucila Becerra-Manuel,2017-04-01
