Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
CXF-2421,4483336336751,Rafael del Barbero,Kia,Sorento,2010,4,2
HLP-3993,8403837905474,Alejandra de Roda,Mazda,BT-50,2021,1,2
ATW-2388,4311299303383,Cristian Donato Giménez Paniagua,Honda,Fit,2023,2,0
ZJJ-2296,8363841223247,Estefanía de Agustín,Mazda,BT-50,2002,3,0
JBJ-5380,6305347581290,Adelardo Llamas,Hyundai,Tucson,2013,0,3
RCG-8223,2579890813627,Artemio Cortés Mascaró,Hyundai,Elantra,2023,2,1
BAM-1593,7717652688837,Manuel Uribe-Velázquez,Hyundai,Santa Fe,2004,4,1
AYV-8615,3837544394416,Sabina Ramón Vidal,Toyota,Hilux,2018,4,3
STK-9966,1459869344384,Asunción Heras,Hyundai,Elantra,1995,1,1
DAF-6164,7975452178256,Sigfrido Tejera Yuste,Hyundai,Santa Fe,2022,3,0
EBR-2748,8807683441121,Pelayo del Marin,Mazda,CX-5,2015,0,2
AMK-0806,5466206708877,María Belén Arnal,Mazda,6,2024,2,1
RGO-2138,1334850379111,Victorino de Cepeda,Honda,CR-V,1996,0,0
TPA-9527,2310833469554,Pacífica Boada-Izquierdo,Toyota,RAV4,2023,5,0
ZFG-9279,2845780735168,Febe Valbuena Jódar,Honda,Fit,2021,0,2
QYD-9118,5700304285122,Yaiza América Padilla Lorenzo,Mazda,BT-50,2017,2,0
YNG-4240,1381223762308,Inocencio Olmedo Ferrer,Kia,Sorento,2001,0,2
NFB-9354,7198990480618,Javi Cabo,Mazda,6,2013,4,3
DDG-7180,4516716832956,Perla Soto,Honda,Accord,2002,3,0
EWE-7674,5170242743545,Almudena Duran-Amores,Honda,Civic,1999,5,0
FJA-1986,3481057497483,Elías Andrade-Bru,Mazda,BT-50,2014,1,2
BNU-0355,6109330828072,Josefa Teruel Juárez,Mazda,3,2013,3,2
PYN-8940,6572224057655,Victor Manuel Blanes Noriega,Mazda,CX-5,2013,1,2
CTP-3821,3730036425376,Álvaro Montenegro Mulet,Honda,Civic,2004,0,0
ORQ-3867,4256818988817,Glauco Beltran Giménez,Honda,CR-V,2019,1,3
DFL-3212,7121907314089,Nieves de Leiva,Hyundai,Tucson,2016,5,0
BKE-8203,3957663520947,Clemente Arribas Alcalde,Mazda,BT-50,2004,3,0
