Placa,DPI,NuevoPropietario,Fecha
VNV-0730,9939994318506,Susana Maldonado Pérez,2022-02-07
ZBH-1259,5839489250585,Kike Ibáñez,2018-03-28
BTD-1161,4139307703293,Macarena Prats Valbuena,2016-07-23
BTD-1161,5639180030905,Elisabet Rosalva Llamas Luna,2024-07-07
BTD-1161,4234388582889,Lucio Moliner-Guitart,2016-04-13
TSD-0246,4701945034895,Alfredo Fiol,2020-07-14
TSD-0246,4511883276947,Baltasar Ferrándiz Mur,2023-08-19
GVK-0478,7842812821963,Lola Iniesta Sans,2015-07-22
GVK-0478,9429620663984,Nicolás del Mercader,2024-01-06
JSE-8363,8749460707043,Plinio Iñiguez-Seguí,2024-11-08
JCT-4217,6798477967289,Albino Guzman Leiva,2018-02-01
JCT-4217,9057991421170,Ascensión Larrea Carnero,2024-08-06
PJP-6049,6033377934118,Adoración Sobrino Tomé,2017-10-15
PJP-6049,6902222388166,Marianela Cadenas,2015-01-09
OOA-7443,5417383695808,Saturnina Iris Maestre Garcia,2019-09-18
OOA-7443,5743372453433,Selena Asenjo Castañeda,2019-02-07
CIJ-4783,6916621447699,León Frutos Aliaga,2021-02-13
CIJ-4783,9081159732007,Natalio Tenorio Manso,2022-01-29
AEV-7642,7907592850253,Américo Jose Carlos Bru Bru,2024-07-31
AEV-7642,9778904164000,Julián Alvarado,2016-04-04
AEV-7642,7059384070969,Hortensia Angelita Garcés Ferrero,2020-07-18
YHS-0850,5945630751971,Hipólito Damián Velasco Andrés,2023-08-02
MZX-2157,1806908075189,Ramona Bilbao Conesa,2018-04-15
MZX-2157,3744195250330,Julián Morata Sanchez,2016-11-16
MZX-2157,7195666395116,Maximino Fajardo,2022-05-20
ONU-9221,1733476916839,Evelia Salvà Osorio,2020-08-13
ONU-9221,3306855426635,José Manuel Cabo-Ortiz,2019-06-22
ONU-9221,5007429907282,Edgardo de Farré,2021-06-09
BPH-1875,3229808636686,Nazario Sales Martinez,2023-10-28
AUG-5962,7874732045670,Luisina Tomasa Urrutia Sarabia,2017-07-15
AUG-5962,9216255506347,Paco Palomo Acosta,2022-09-14
AUG-5962,9627475791109,Belén Camino Calzada,2019-11-26
RIO-9414,6221460179368,Ale Ferrer Adán,2017-04-25
KGI-6320,8054689576107,Dorotea Cordero Jáuregui,2022-12-24
KGI-6320,8944518167704,Fabián Canales Villaverde,2016-09-29
IXG-9478,6039919245388,Fabio Ávila Uribe,2022-01-31
IIS-9662,6421277140803,Saturnino Barreda Verdú,2021-05-14
IIS-9662,3331864276509,Petrona Peláez,2023-02-05
IIS-9662,9545271121657,Candelaria Iniesta Alemany,2018-01-10
GFU-6164,3340948274977,Chus Laguna Caparrós,2024-12-12
GFU-6164,7185518520154,Candela Josefa Arranz Ferrer,2022-07-24
GFU-6164,1298825372823,Gaspar Ferrer Sanjuan,2016-03-09
DFM-8540,9682265432070,María Cristina Trillo Anguita,2018-03-31
DFM-8540,4773478138763,Humberto Colomer Llopis,2018-04-27
DFM-8540,3147851526037,Alejandra Figueroa Manjón,2019-10-04
JSD-6052,8711872872057,Máximo Almansa Riera,2020-10-27
JSD-6052,2540200598861,Clara Mesa Benítez,2019-07-18
UGB-5778,4550870785845,Charo Alcalde Aller,2017-12-29
FXA-6789,6375697409786,Regina Carrillo-Ferrándiz,2024-01-31
FXA-6789,4704261869945,Anunciación Planas Miró,2023-01-03
FXA-6789,2445262207049,Angelina Vidal Crespi,2015-01-12
HZS-3463,9067168505848,Miriam Mayoral Ochoa,2021-02-12
UJL-3853,2243486799260,Nicolasa Cámara Gras,2023-02-13
UJL-3853,8833426702648,Abigaíl Valcárcel,2016-11-07
UJL-3853,8125683049471,Guiomar Pancho Alberto Gomis,2021-08-28
OFL-5083,6707294004594,Moreno Romero-Barberá,2018-06-18
HCA-3952,6642972092152,Nayara Roldan Lloret,2020-10-21
HCA-3952,2168248936358,Gema Duran Aguiló,2019-03-17
HCA-3952,7539549982229,Anunciación Montero,2020-10-15
OSG-6468,8203783948082,Teo Bou,2021-05-14
WNW-2797,6223127263858,Dafne Palmer Pinedo,2016-10-28
WNW-2797,3056629129741,Carmen Barrena Rubio,2016-07-24
BRK-6675,7616553714756,Carlota Chacón,2016-06-23
OEH-2989,6500132835122,Genoveva Tejera Rojas,2019-04-27
OEH-2989,3559777195234,Victor Manuel Daza Hervás,2021-04-12
OEH-2989,9081093669802,María Pilar Serra,2022-07-26
ZME-5605,3349527918604,Berta Escobar Valera,2021-01-12
ZME-5605,8864089393121,Clementina Elorza Juárez,2016-01-20
YVL-5885,7841283706599,Jennifer Pascual Fuente,2024-03-04
YVL-5885,8544959995480,Aarón Mancebo Somoza,2015-06-07
VWV-2416,5054524925974,Carlota Iris Piñeiro Bermúdez,2016-06-03
KOW-0831,2033149938241,Maite Pujol Navas,2020-01-15
KOW-0831,9874211107507,Sigfrido Piquer Calleja,2023-06-22
KOW-0831,3854374280013,Áurea Morera Aparicio,2017-10-27
MIT-4923,2693869169842,Plinio del Caballero,2019-01-29
MIT-4923,9410210907430,Julio de Arco,2023-01-17
MIT-4923,1411695499466,Pánfilo Santamaria Carreras,2024-02-25
AMX-1952,6056196664655,Alejandro de Gelabert,2022-08-21
BND-9655,4999547883925,Josué Carbajo Valentín,2019-11-11
BND-9655,7273281268741,Teresita Tenorio-Cabello,2020-05-19
ZKN-3213,6523912141642,Eva María Raya Lluch,2021-07-27
EUQ-0564,7334900535456,Rosalina Lobato Puga,2020-12-27
EUQ-0564,5787158219471,Manola Mercader Sánchez,2020-06-24
