Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
VNV-0730,2738710683794,Toño Carreras Andres,Hyundai,Accent,2002,0,1
ZBH-1259,9204284053960,Abigaíl Matas Vazquez,Mazda,6,2013,3,1
BTD-1161,1817816030853,Bernabé Méndez Mariño,Kia,Sorento,2018,1,3
TSD-0246,5080124249668,Leocadio Portero Pareja,Toyota,Hilux,2009,3,2
GVK-0478,1993107136082,Piedad Español-Alonso,Mazda,CX-5,2016,2,2
JSE-8363,2695721791771,Ester Benitez Belmonte,Mazda,6,2020,2,1
JCT-4217,3254137190834,Ciro Bonet Cobos,Kia,Rio,2018,5,2
PJP-6049,5056296790583,Jose Ignacio Lopez-Grau,Toyota,Corolla,2000,0,2
OOA-7443,9756553526361,Eligia Viviana Pascual Real,Hyundai,Santa Fe,2013,5,2
PLS-9206,9023322013498,Ana Campillo Garcia,Honda,Accord,2022,3,0
CIJ-4783,5268935859658,Adalberto del Arjona,Kia,Sorento,2005,3,2
GVW-5206,7823959037056,Augusto Monreal Alonso,Mazda,6,2012,2,0
AEV-7642,3989168134542,Pánfilo Elorza-Amo,Mazda,CX-5,1995,1,3
YHS-0850,9253254425810,Cloe Ruth Angulo Gisbert,Mazda,3,2021,1,1
MZX-2157,2300457854023,Pastor Bas-Saura,Hyundai,Accent,2004,2,3
ONU-9221,7115196428781,Merche Torrent Alemán,Kia,Sportage,2011,5,3
BPH-1875,2480124386997,Consuela González,Hyundai,Elantra,2004,0,1
AUG-5962,9953033727603,Luis Miguel Alcalá Mesa,Kia,Sorento,2015,2,3
RIO-9414,9412020945146,Juan Antonio del Rey,Hyundai,Tucson,2012,4,1
CQF-6194,1089029913238,Ciríaco de Ribas,Honda,Accord,2014,0,0
KGI-6320,1759157209109,Julio Nuñez Pérez,Kia,Sportage,1999,0,2
IXG-9478,6900433988576,Rocío Pavón Antúnez,Kia,Sportage,2004,3,1
IIS-9662,7026232433220,Ximena Salcedo Navarro,Toyota,Corolla,2002,5,3
