Placa,DPI,NuevoPropietario,Fecha
ONI-4385,4178469949628,Trinidad Duarte-Manjón,2018-09-02
ONI-4385,7992766728694,Juan Pablo Tenorio Belmonte,2017-05-05
ONI-4385,8514160929175,Xiomara Peralta Miguel,2022-09-15
KQG-9721,4299499027640,Mayte Cepeda-Mendoza,2016-05-05
KQG-9721,2081684608465,Serafina del Acero,2019-03-15
YIT-4930,7699159526805,Tomasa Seco España,2015-05-31
FQK-0130,7118505755409,Chema de Duque,2021-01-31
FQK-0130,3064890859091,Luna Garay,2015-07-23
MWA-1517,2004508747414,Carmen Montalbán-Uría,2018-03-03
MWA-1517,1936659534490,Jacobo de Prieto,2019-06-24
MWA-1517,5287955489782,Martina Asensio Ramírez,2024-06-17
NVX-3854,5653376614799,Eutimio Marin Corbacho,2022-02-02
NVX-3854,2190273916966,Diego Pulido-Vall,2015-02-21
NVX-3854,2766149885328,Celia Zamora,2020-07-02
RYI-2967,7708593347951,Martin de Manso,2023-05-13
RYI-2967,2966437525213,Graciana Larrañaga Blanca,2022-03-31
RYI-2967,1589556792079,Silvia Serna Escribano,2021-06-19
NDU-0539,2327206088819,María Manuela Duque Blasco,2022-06-27
NDU-0539,1322592963029,Dalila Company Amigó,2018-07-09
NDU-0539,4373921035174,Che Crespi Albero,2015-09-07
KIM-4704,8613562084491,Maximino Soto Menéndez,2021-11-20
KIM-4704,5874574121166,Blanca Plana,2024-04-07
KIM-4704,2731073469380,Isabela Mariana Galvez Cazorla,2017-02-25
SUU-0891,9562609623380,Armando Iriarte Fuentes,2020-09-14
SUU-0891,4662377086356,Consuela de Alberto,2020-11-21
OEM-8513,7365391722989,Efraín Benavides Bautista,2018-11-06
OEM-8513,5681179855667,Rosa Catalán Quiroga,2022-11-08
PVM-9515,1183427102396,Caridad Esparza-Portillo,2019-07-04
PVM-9515,1513944587818,Maite Canals Francisco,2021-07-14
PSL-4039,6011411343960,Epifanio Robles Martin,2016-08-02
PSL-4039,1794070337876,Graciana Soria Rivera,2016-12-03
AKT-1377,4751418630759,Plácido Vidal Ramis,2018-11-01
OKR-2092,6930506069712,Eloísa Porras Guardia,2017-11-01
CWL-3889,4952946364755,Emilia Marqués Leal,2019-08-29
CWL-3889,4240584335142,Fidel Saldaña-Barco,2018-06-30
CWL-3889,5097218626494,Gema Castell Alcalá,2022-05-05
ZJL-5087,5139883838917,Norberto Alfaro,2017-06-19
ZJL-5087,8173956891041,Georgina Tomé,2015-09-29
TKL-3342,4267563181135,Ana Castro Medina,2018-11-26
TKL-3342,8647384958134,Toni de Goñi,2016-10-31
NHA-0931,8825907008037,Gilberto Gisbert Francisco,2017-06-22
