Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
ONI-4385,8802975773877,Manuelita Ramírez-Leon,Mazda,3,2002,5,3
KQG-9721,9994351518456,Tania Rosalía Miguel Ríos,Mazda,CX-5,1999,4,2
YIT-4930,9129931009242,Aránzazu Esparza Monreal,Toyota,Hilux,2015,0,1
FQK-0130,7073769721493,Mariano Marco Valverde,Hyundai,Accent,2023,4,2
MWA-1517,6596111706998,Anselmo Conesa,Honda,Fit,2013,2,3
ZTP-5657,1491656735796,Consuelo Anguita Nogués,Toyota,RAV4,1996,2,0
NVX-3854,9206580518258,Itziar Palacios,Honda,Civic,2013,1,3
HIC-7068,6237435585628,Nazario Santiago Dávila Galvez,Kia,Sportage,2012,4,0
RYI-2967,4255741050726,Román Perez Campillo,Mazda,6,2002,1,3
NDU-0539,9988044746727,Joel Martín Figueras,Mazda,CX-5,2017,3,3
BZT-6712,3716615239163,Joaquina Cáceres Bautista,Kia,Picanto,2014,5,0
SOB-5182,4888838163861,Alejandro Roma Domínguez,Mazda,3,2000,4,0
KIM-4704,9816493795244,Isidro Recio Canales,Kia,Picanto,2012,3,3
SUU-0891,6206638176281,Hugo Garcia Fajardo,Hyundai,Elantra,2011,4,2
OEM-8513,8449017556697,Carmela Guijarro Casado,Hyundai,Tucson,2005,3,2
PVM-9515,8125943177451,Apolonia del Madrigal,Mazda,BT-50,2021,4,2
PSL-4039,1931272499568,Guiomar Ernesto Bilbao Macias,Mazda,BT-50,2000,0,2
AKT-1377,9306386547713,Silvestre Chico-Menendez,Kia,Rio,2008,4,1
OKR-2092,6271150867644,Manuelita Duque-Tudela,Hyundai,Accent,2001,2,1
CWL-3889,7281286991983,Manolo Perez Castillo,Honda,Accord,2007,3,3
ZJL-5087,9811462921180,Prudencia Camacho-Catalá,Honda,Civic,2001,3,2
TKL-3342,3557248382960,Atilio Aparicio-Sans,Kia,Rio,1995,3,2
NHA-0931,6655394655177,Evangelina Querol Suarez,Mazda,3,1997,0,3
XNA-9460,1926266559391,Lucía Ascensión Garmendia Pedro,Kia,Rio,2003,2,1
IEA-1632,8241331034217,Aitor Sotelo,Mazda,BT-50,1999,1,0
DXJ-3324,4473581318360,Josefa Reina Carrasco,Toyota,Yaris,1998,1,3
REZ-5007,5230815586503,Duilio Carbajo Tur,Kia,Sportage,1999,0,3
WTX-5911,9490584780087,Óscar del Ortuño,Honda,Civic,1995,2,0
SSH-7641,5393050546629,Asunción Ariño-Pineda,Kia,Sorento,2002,1,2
MOW-1399,5619764827394,Perla Matas Ángel,Hyundai,Tucson,2009,3,1
AAR-1400,3536450266159,Isidora Alberdi Llorens,Mazda,CX-5,2002,4,3
YRY-1634,5657984800133,Ofelia Villalonga-Rosales,Toyota,Hilux,2012,1,2
SRU-9200,6831351087650,Anita Tormo Romeu,Hyundai,Santa Fe,2000,5,3
ZMK-8796,1192925982585,Reynaldo Llorente Pombo,Kia,Picanto,2013,3,3
QTM-8645,8893127279880,Edelmira Acero,Kia,Sportage,2019,3,3
NEM-9693,1468641048762,Alejo Chaparro-Noriega,Kia,Sportage,2015,3,1
QDH-1976,3149267395175,Pascuala Teresa Mariño Barragán,Hyundai,Santa Fe,2007,2,2
NNS-7154,1141667005819,Anastasio Nogueira,Hyundai,Accent,2019,2,0
RJE-9155,9533881202670,Sonia Quevedo Delgado,Honda,Civic,1998,4,3
TRJ-3965,8602348546211,Raimundo Galindo Frías,Hyundai,Elantra,1998,5,1
LPY-9400,6575902959243,Lalo Caro Escamilla,Hyundai,Tucson,2005,4,3
PAD-4164,8638450070825,Guadalupe Torrijos Roma,Honda,CR-V,2000,0,3
STZ-0674,2941033240492,Roque del Oller,Kia,Sorento,2024,3,2
BBC-1959,7864857205857,Matilde Macias Revilla,Toyota,Yaris,2010,3,2
ILM-5526,5064609534893,Esperanza Garzón,Hyundai,Tucson,2022,5,0
IEK-1939,2874962313044,Rafa del Arnal,Mazda,3,2020,2,3
CFU-5797,4124155394130,Marta Sastre Galán,Toyota,Yaris,2013,4,3
FQV-3526,6120179629574,Eusebia Farré Blanca,Honda,Civic,2010,2,2
AXY-5051,1983057162738,Luisa Hoyos Mercader,Toyota,Hilux,2022,4,2
IZW-8816,7696959344010,Yéssica Segovia,Kia,Picanto,2008,0,3
HYG-4808,3687895609192,Cecilia Carro Galán,Hyundai,Elantra,2008,0,2
QKR-4064,4521384412920,Fernanda Feliu Prado,Kia,Picanto,1997,4,3
EXQ-4435,3121428667073,Jovita Huerta Rueda,Hyundai,Accent,1997,1,3
SYE-1782,2352473333654,Nuria Maldonado,Kia,Picanto,2012,1,1
MLM-8792,4991419139668,Jose Miguel Arnaiz Sáez,Toyota,Corolla,2001,2,1
YOB-2585,9612157196976,Ricardo Gerardo Garrido Sandoval,Hyundai,Elantra,2010,3,0
XIG-5020,1014811073491,Olimpia Ros Mur,Toyota,RAV4,2010,2,3
CFZ-7358,7819727963676,Abraham Segura Oliva,Toyota,RAV4,2020,4,2
HYT-6328,2970853523022,Reynaldo Rios-Baena,Kia,Sorento,1995,2,2
TZH-9678,8665807375140,Nilo Clemente Rocamora,Hyundai,Accent,2012,4,3
QWE-0159,7084723474816,Ramona Zamorano Ríos,Kia,Sportage,1997,1,2
AVG-2395,2353438445574,Manuela Segura Serrano,Hyundai,Santa Fe,2007,1,3
FFA-4639,8549040757427,Ruben del Duran,Hyundai,Santa Fe,2005,4,1
TCK-9041,4689016355455,María Manuela Pozo Alegre,Mazda,CX-5,2013,2,0
VQA-8159,2550538117641,Candelario Conrado Barranco Barrio,Hyundai,Accent,2003,2,0
EHZ-3906,2056241554430,Ambrosio Cano Colomer,Hyundai,Accent,1996,1,3
QET-5211,5276102070705,Olivia Mora,Mazda,CX-5,2016,1,1
MQO-8426,3220441888808,Lino de Hervás,Kia,Sportage,2019,5,1
VFZ-0286,5989796185420,Amador Aller Mariño,Kia,Rio,2008,1,2
FMN-7712,5982819496252,Nuria Ortuño-Ricart,Mazda,6,2004,4,2
KLZ-8404,7411262272546,Abril del Marti,Honda,Civic,2005,3,2
HQT-6282,4716785698965,Eugenio Salas Gutiérrez,Honda,Fit,1996,3,1
YHG-8116,6299692824117,Araceli del Bonet,Hyundai,Accent,2015,3,2
DIK-2767,9131309751628,Casemiro Rodrigo Cabezas Rocamora,Mazda,CX-5,1995,0,1
UVF-8995,2836244081914,Octavia Mas Sala,Hyundai,Santa Fe,1995,1,2
UCV-0840,5290870795200,Leticia Camps Bejarano,Honda,Civic,1997,0,3
ELK-8325,3464611007504,Enrique Ferrando-Barranco,Honda,Accord,2002,4,2
FWR-7750,2748185784985,Cándido Castells Pavón,Toyota,Yaris,2019,2,3
QIR-9967,8217217237014,Juan Francisco Nando Peñas Medina,Honda,Civic,2019,4,2
VSM-2808,6705525121355,Olegario Torrent-Cuevas,Mazda,3,2009,0,2
LLE-4709,1905769131488,Lorena Mendez Carbonell,Kia,Rio,2004,2,0
LHX-8155,5755910985821,Eduardo Abad Ureña,Honda,Fit,1998,0,1
DZL-8259,7401879800303,Lourdes Noelia Azcona Redondo,Toyota,Hilux,2007,3,2
SBB-2253,1821956576741,Jose Francisco Ochoa Poza,Hyundai,Accent,2000,2,3
URX-1763,2558282798012,María Luisa Coca Roca,Mazda,BT-50,2021,3,0
DWX-5951,8300536743261,Nicanor Palau Rebollo,Honda,Accord,2001,0,1
IUL-5084,3525624169950,Marciano Pedrero Montesinos,Honda,CR-V,2003,3,1
HRS-2254,7591487007509,Anselma Ariño Vazquez,Kia,Picanto,2006,0,0
GAT-4859,4760268953487,Lara Antúnez Martinez,Honda,Accord,1996,1,3
NGC-9630,6382591303787,Angélica Robledo Aroca,Toyota,Hilux,1995,3,1
WDF-0195,6122989600455,Clotilde Fernández Valero,Hyundai,Elantra,2008,4,0
BPU-4356,5041880461752,Eligia de Heras,Toyota,RAV4,2007,2,2
GWY-4776,1464755968698,David de Pina,Hyundai,Accent,2002,2,0
