Placa,DPI,NuevoPropietario,Fecha
XEL-3068,3708816422508,Sosimo Villegas Daza,2024-06-29
XEL-3068,3636857481586,Áurea Gibert Crespi,2016-10-05
XEL-3068,2209985882778,Fernando Olivares-Páez,2016-04-30
UJP-9190,7763064184801,Jose Antonio Chamorro Sanjuan,2019-02-07
UJP-9190,7808648071023,Merche Beltran Ribes,2015-02-04
UJP-9190,1019876217997,Jimena Ávila Porta,2019-03-16
FJF-6030,9103413740429,Milagros Gloria Villena Torrents,2017-12-13
FJF-6030,5107265672221,Abigaíl Gibert-Marqués,2015-10-28
XZT-6371,4839716543554,Berta Urrutia Rios,2018-03-11
GQF-2256,4624777382774,Morena Gallart Montes,2020-08-21
GQF-2256,8906601871964,Cristian Boada Fernandez,2024-09-02
CPB-1193,6860107020728,Mirta Vergara Montalbán,2018-12-27
CPB-1193,8273889465776,Javier Cabezas Castells,2022-10-01
CPB-1193,2852705534860,Sancho de Valderrama,2021-06-15
QCP-2667,2236962959697,Gustavo Carranza,2021-10-09
QCP-2667,8838190164420,Fidel Pozo,2020-04-24
QCP-2667,5621087939806,Valentín Torrecilla,2018-01-24
EXN-0959,4357495909803,Amor Ureña Ferrán,2020-01-21
EXN-0959,8786245481894,Remedios Cuadrado,2020-09-21
EXN-0959,2494623730453,Jesús Giménez Sevillano,2020-10-22
YHS-0630,6840082422153,Luís Olmedo Fortuny,2019-08-22
YHS-0630,3342352947246,Ester Girona-Pereira,2018-09-10
YHS-0630,8256654484829,Teodoro Niño Borrell,2024-04-29
GIO-5265,5368393379406,Jacinta Ros Lluch,2019-05-03
CVB-6316,8369936994760,Victoria Carrera-Carrillo,2023-05-07
CVB-6316,5554451225225,Sebastian Narváez Llobet,2024-10-29
ARI-4584,8073664834940,Jose Antonio Saldaña Sanjuan,2024-07-08
ARI-4584,2262533988660,Epifanio Pedraza,2020-02-02
RLN-1758,3285075037277,Áurea Petrona Campillo Barriga,2020-06-13
RLN-1758,6367032746043,Roxana Isa Flores Arnau,2016-12-07
RLN-1758,5036919241629,Aurelio Ramirez Diaz,2015-11-25
KNW-0832,5097700609803,Lucía Perelló-Samper,2016-05-02
KNW-0832,9712031845596,Guadalupe del Prat,2015-08-29
KNW-0832,5440947603859,Octavio Ávila-Agustín,2024-01-12
YWS-4707,5364180451269,Noemí Marti,2015-10-28
YWS-4707,9169118666642,Coral Ángela Carro Coll,2021-06-17
TGC-1857,9279167043218,Olegario Antonio Saez Bolaños,2017-08-26
ZDV-9782,9680599029801,Viviana Guijarro Elías,2022-01-24
ZDV-9782,3442241379576,Susanita María Del Carmen Mayol Tena,2024-07-19
OXP-9405,2913688197379,Fabricio Tapia Esparza,2018-05-02
OXP-9405,5718294513365,Hernando Gimenez Segura,2020-07-19
OXP-9405,9785134092092,Blanca Sarabia Roda,2022-10-11
OOK-9650,6046350237826,Delfina Candelaria Escribano Valverde,2018-08-01
YBB-9977,5079938972867,Sancho Calatayud Gisbert,2017-12-28
YBB-9977,6716728922871,Clímaco del Manuel,2016-08-01
IEP-1859,9769167763324,Adelia Villanueva-Agudo,2022-11-20
IEP-1859,7208616157616,Feliciano Alemany Gonzalo,2021-05-07
KGV-2029,4775577228454,Chuy Tenorio Giménez,2020-10-28
KGV-2029,1778765833219,Jacinta del Torrent,2016-05-17
THC-4567,5706200702234,Mohamed Lucas-Ropero,2020-06-27
THC-4567,2441763460910,Lalo Fuentes Trujillo,2018-12-17
ZTI-1166,9991996411611,Carla Requena-Ramis,2024-12-18
ZTI-1166,1525628786031,Emigdio Caparrós Barco,2024-08-12
IGI-3820,9207072123722,Jesús Rueda Requena,2021-06-12
HDQ-9313,5425504158320,Jose Manuel de Carretero,2021-05-16
HDQ-9313,1981760067089,Pili Rocha Escribano,2021-11-05
