Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
TWG-0184,5422772600108,Priscila Barrera Sancho,Hyundai,Santa Fe,2023,0,0
HBU-4211,6371655073210,Violeta Sanmiguel Valderrama,Kia,Sorento,2003,3,0
XEL-3068,8457501829250,Loreto Portillo Alcalde,Kia,Picanto,2023,3,3
UJP-9190,8631877620355,Víctor Bernal Catalá,Hyundai,Santa Fe,2007,0,3
FJF-6030,8518457548281,Victoria Araujo Olivé,Hyundai,Elantra,2005,0,2
XZT-6371,2532744355090,Ruben Isaac Tovar Nogués,Mazda,3,2001,3,1
GQF-2256,5492666741507,Darío Suarez Sáez,Mazda,BT-50,2011,3,2
ADJ-7314,9211809284771,Teodosio Lago Andrade,Hyundai,Santa Fe,2019,5,0
CPB-1193,4485902085752,Javier Alemany Belda,Toyota,Yaris,2016,0,3
QCP-2667,8690831412015,Obdulia Ojeda Angulo,Honda,Accord,2008,3,3
EXN-0959,3272907262713,Débora Llopis,Honda,Civic,2024,2,3
YHS-0630,4735754227467,Sergio Salamanca Badía,Hyundai,Tucson,2012,0,3
GIO-5265,9088798826378,Gisela Valverde Infante,Toyota,Yaris,2002,1,1
CVB-6316,2690407299646,Albert Coll Alfonso,Kia,Sportage,2002,2,2
EAY-7564,4180320408231,Susana Micaela Ávila Anguita,Toyota,RAV4,1997,1,0
ARI-4584,2622091628104,Adoración Lorenza Garcia Morillo,Toyota,Hilux,2001,0,2
RLN-1758,1202293858870,Gonzalo Tejedor Leiva,Toyota,RAV4,2003,1,3
KNW-0832,9506647380958,Eleuterio Vidal,Hyundai,Tucson,2010,3,3
YWS-4707,6081813281566,Eli Giner Manjón,Toyota,Hilux,1995,2,2
JFI-5587,7177172320567,Eugenio Severiano Badía Blázquez,Honda,Fit,2006,3,0
TGC-1857,8460742526116,Marc del Atienza,Mazda,3,2021,0,1
ZDV-9782,9961384247801,Marisela Carvajal Alegria,Kia,Rio,2012,0,2
OWQ-8057,7356954056709,Fanny Reina Izquierdo,Toyota,Hilux,2022,2,0
OXP-9405,1962833081836,Bernabé Artigas Moll,Kia,Sorento,1996,1,3
OOK-9650,7525287545946,Juliana del Pedrero,Mazda,6,1997,0,1
YBB-9977,9130744647656,Vilma Sanjuan,Hyundai,Santa Fe,2009,2,2
JZY-5385,2635197396949,Ana Belén Enríquez Gelabert,Mazda,BT-50,2003,5,0
CMQ-5658,1435417269886,Melchor Vigil Arjona,Hyundai,Santa Fe,2000,5,0
IEP-1859,5536335012971,Isa de Ricart,Hyundai,Santa Fe,2000,0,2
KGV-2029,3834657434120,Caridad Frutos-Huertas,Toyota,Yaris,1998,3,2
THC-4567,9791712807627,Feliciana del Galán,Toyota,RAV4,2021,5,2
BNB-7881,8753612582533,Chus Rios-Campo,Kia,Sorento,2022,4,0
ZTI-1166,5570758578066,Maricela Noguera-Quero,Honda,Civic,2011,2,2
IGI-3820,9483124914040,Vilma Valero Fortuny,Hyundai,Elantra,2017,0,1
