Placa,DPI,NuevoPropietario,Fecha
BSG-4943,2953009205074,Carmela Porcel,2022-01-22
BSG-4943,6927707342372,Esteban Saura,2021-02-20
LWC-7646,2177108872628,Pilar Fernández Contreras,2021-12-01
LWC-7646,7254849925090,Remigio Arnaiz Hervás,2017-04-05
LWC-7646,5078403694620,Ciríaco del Casares,2019-11-14
IVA-6071,3778238651758,María Carmen Delgado Costa,2020-09-01
EWC-6400,6192146819752,Jose Ramón Ferrer Pereira,2023-08-01
ITE-0097,6278290589048,Nicolás Rosario Prado Pombo,2022-10-22
ITE-0097,9118362023220,Salud Mascaró Rodrigo,2023-06-18
ITE-0097,8595169290483,Pepito Melero Ariño,2017-02-27
OID-0290,9955215239698,Florina Villanueva-Terrón,2022-11-19
OID-0290,2201670902887,Guillermo Peñalver Santos,2022-06-11
OID-0290,4851980155178,Petrona del Ballester,2021-06-01
JMK-4045,4730563949487,Oriana Blanca Landa Noguera,2017-11-05
JMK-4045,1491576035973,Mariano del Ocaña,2018-06-11
ADC-8351,2325917061994,Felipe Iker Abellán Gimenez,2016-07-04
QZZ-4613,3868421054491,Zaida de Ripoll,2019-07-07
QZZ-4613,2445581814924,Édgar Almansa Arteaga,2024-01-24
HBE-9401,1861760163638,Jose Carlos Arcos,2024-04-26
HBE-9401,7551805485246,Cebrián Manzano Ferrándiz,2018-01-01
XZQ-3233,4394272044954,Yésica Zaragoza,2015-12-12
XZQ-3233,3614345851084,Gisela Ochoa,2019-12-22
XZQ-3233,4031570882151,Leocadia Melero,2018-11-28
RRA-0120,8729579364683,Guiomar Alcalde Andreu,2015-12-13
RRA-0120,2395215854400,René Arias-Peñas,2016-06-21
BYV-5199,1372237019560,Matías César Rebollo Luna,2022-10-29
TKR-1533,7290817040832,Francisco Javier del Ferrer,2019-06-21
TKR-1533,3731447435007,Sandra Clara Dávila Abellán,2024-09-30
TKR-1533,3909362584168,Fito Blasco Carvajal,2018-11-17
ZWM-1385,5917181824458,Teodosio Barrio Sacristán,2023-03-14
ZWM-1385,3820613781386,Miguel Esteban Villanueva,2016-12-01
VUI-7181,1084489616087,Zoraida Pereira Tomé,2024-09-21
XFV-0500,2853688583581,Leire del Sáenz,2018-11-28
RRZ-4467,7812459194845,Conrado Orozco-Vives,2016-09-01
RRZ-4467,9643146247371,Lola Aragón Carlos,2023-08-12
RRZ-4467,2209948154660,Arsenio Palacios Andres,2018-03-06
QRP-8655,9105789949510,Rubén García Ayala,2022-04-01
QRP-8655,4053314168030,Melchor Marcio Domínguez Perera,2020-12-25
TVE-2718,5656035066987,Sabas Lloret-Navarro,2016-01-21
TVE-2718,6485277915050,Aurora de Iborra,2015-08-27
TVE-2718,7583901494452,Tito Hernández,2019-06-01
YZY-4950,6581009129006,Raúl Boada-Verdugo,2019-01-19
YZY-4950,7749255638558,Adora Ibarra Nebot,2024-08-09
QRB-1313,2711040648323,Luz Manzano,2018-11-11
NDU-5054,8025709144604,Coral Sanmiguel Borrás,2020-03-24
NDU-5054,7613409883087,Hermenegildo Moya Tello,2021-11-16
NDU-5054,3072360567955,Ofelia Quirós Cortés,2015-08-08
EFE-8324,5165806266819,Ileana del Alvarez,2019-04-28
EFE-8324,8892091415390,Ana Belén Leiva Agudo,2015-01-02
EFE-8324,6495493908125,Calixto Arroyo,2019-08-08
WGJ-8494,3540425905816,Elba Etelvina Iriarte Ruiz,2018-06-20
WGJ-8494,6582966008916,Marisela Cifuentes Alvarado,2019-02-23
INX-7075,5801185863662,Ariadna Mancebo,2020-04-04
LZI-7143,1897781773379,Pilar Peinado Palomino,2018-08-12
LZI-7143,1913805665945,Adelaida Morcillo Sarmiento,2023-06-08
LZI-7143,6692823036379,Yaiza de Francisco,2023-01-20
SKR-7921,7483930728838,María Teresa Gaya Peralta,2015-10-24
DNR-6730,6863005513198,Martirio Tenorio,2017-08-21
RCX-3018,4477242875692,Chuy Palacio Márquez,2024-01-04
RCX-3018,7501090053362,Vidal Jerez Folch,2019-12-15
RCX-3018,4525285769950,Víctor Alonso Aparicio,2024-01-05
AOP-9965,3112414310139,Rita Molina Echevarría,2016-01-19
AOP-9965,3515658518290,Leocadia Mendoza Tomas,2016-08-25
MCR-8564,8797200722495,Mar Herrero Campo,2015-02-25
MAD-0420,1396337898702,Xiomara Barberá Pablo,2016-08-07
MAD-0420,2285301134084,Edelmira Suarez Toro,2017-07-12
PLS-8055,7562095626630,Guillermo Nevado Sabater,2016-12-27
PLS-8055,5672036185655,Bibiana Valenciano Castilla,2018-07-21
PLS-8055,8877042168689,Arturo Prada-Higueras,2023-03-29
DJG-3764,6879386574029,Mario Naranjo Vergara,2019-06-27
IFH-0638,9017646134739,Brunilda Carro Llorens,2015-02-16
IFH-0638,6586690929999,Raimundo Priego-Echevarría,2018-05-19
NVA-1570,8146571700211,Virgilio Guerra,2019-12-21
NVA-1570,8687936327376,Bibiana Bárcena Mulet,2018-01-26
NVA-1570,9968014857648,Guadalupe Trini Miranda Carrillo,2020-05-15
SMV-2306,6063203840267,Severiano César Rueda Clavero,2016-12-16
SMV-2306,3181009642229,Benigna Pintor Zabaleta,2017-12-08
JEE-0354,4769643112792,Valero Girona Torralba,2017-10-20
JEE-0354,9432649523959,Petrona Haro Exposito,2020-07-07
IUT-1577,7032234073031,Gisela Ximena Barriga Alemán,2020-03-22
IUT-1577,4249087760802,Apolinar Cuenca Lumbreras,2022-10-11
MCO-7990,1572389246416,Leonel Ferrero-Losa,2024-08-22
MCO-7990,5530609608512,Dora Montoya,2019-09-19
MCO-7990,9451805815968,Aitana Salgado Fabregat,2016-03-27
KJD-1148,9946258031149,Lina Falcó Agudo,2022-11-27
KJD-1148,5332581622739,Roldán del Girona,2021-02-10
TLL-4812,8173013989375,Esmeralda Codina Berenguer,2020-02-16
TLL-4812,6467907986066,Emilia de Costa,2020-08-05
LBD-5534,9536438203055,Amelia Samper-Carbó,2022-02-24
LBD-5534,8628851062512,Paula Casanova Arce,2022-04-05
LBD-5534,2045520487570,Anacleto Sierra Padilla,2024-11-13
XWM-0426,9942516729314,Tiburcio Valenzuela Valverde,2016-12-26
XWM-0426,1509112245876,Amado Lillo,2015-06-23
RVJ-5436,6538318374316,Perlita Cabrera-Losa,2020-08-16
JQR-4250,3484918817036,Emiliano Tur-Avilés,2019-03-17
JQR-4250,5782573206228,Ester de Galván,2015-09-20
JQR-4250,6960053399129,Aarón de Lluch,2020-07-14
ITG-4601,5648774597675,Rocío Eliana Crespo Gallo,2019-05-08
ITG-4601,2517332564428,Arturo Nadal Fonseca,2024-04-07
QBH-0603,4142159864473,Miriam Olivé Cervantes,2020-11-20
QBH-0603,6360281042626,Jacinto Boix Gracia,2019-03-23
QBH-0603,6379566383933,Octavio Mesa Flores,2018-03-25
HHT-9318,1250869744507,Eugenia Herranz-Jiménez,2017-07-13
GSA-3044,7002009407124,Salomón Elpidio Martin Guillen,2024-05-01
RWW-3212,6518494164374,Jonatan Pavón Martin,2017-08-17
VAK-0689,4865188406220,Anastasia Borrell Múgica,2023-01-21
VAK-0689,2957017954204,Cruz Castell Royo,2024-01-23
PQW-3956,8154962343632,Débora Varela,2020-05-22
PQW-3956,4410727874887,Concha de Bernad,2019-04-12
PQW-3956,3940261657812,Rosalinda Falcó-Palau,2020-01-23
YTU-5130,1315964574870,América Ibarra Cal,2022-06-14
XNU-7743,9864755545815,Joel Édgar Salas Reyes,2024-02-23
GBT-2955,1699140693747,Carla Ramírez Barco,2024-07-15
GBT-2955,1860694153165,Tomás Menéndez-Gaya,2016-03-22
GBT-2955,8289380533938,Eustaquio Pepito Casanova Pino,2020-03-28
ULT-1981,7322712385294,Flavia Moraleda Gonzalez,2018-07-26
ULT-1981,7682109044887,Javi Lobo,2019-09-21
ULT-1981,6760623994199,Brígida Bonet-Bosch,2016-10-11
IXA-9054,9085800640266,Alma de Palmer,2019-09-29
YEN-7363,6389897431431,Lorena Pinilla Piquer,2024-06-10
ORJ-5028,3437955008273,Amílcar Múgica Roldan,2019-07-06
ORJ-5028,2030819056738,Fermín Jódar Aguilera,2015-03-29
PGO-2846,9704328734293,Valerio Luís Osorio,2016-01-10
PGO-2846,3544197916923,Sandra Córdoba Mascaró,2020-07-11
ESJ-5258,7774760135693,Paz Peral,2015-05-13
ESJ-5258,4861528671517,Custodio Guijarro Bonet,2019-02-11
RAS-4208,5603159324935,Lalo Mendizábal Patiño,2022-01-16
RAS-4208,2937556586690,Benito Bayona-Grande,2020-12-28
RAS-4208,5402726814205,Eloísa Rosa Alcántara,2019-06-03
YWW-9018,9883604481553,Rosa María Paredes Carranza,2022-12-29
IAE-6101,5787739390648,Teodoro Gisbert-Verdugo,2016-06-29
IAE-6101,8252113112352,Nazaret Roma Montero,2019-02-12
ZWG-8494,8659312125927,José del Nuñez,2017-09-17
ZWG-8494,6000032124521,Pía Zamora Porta,2017-02-11
YKZ-0143,1374610042195,Fortunato Carmona Quintero,2017-12-31
VSL-2026,6338104087117,Águeda Tirado Burgos,2019-10-07
YHT-1820,3047812244186,Eufemia Rosenda Prieto Villaverde,2015-09-09
QFZ-0202,3365939255504,Magdalena Alvarez-Solís,2017-08-05
SWC-1085,9957146574848,Nieves Polo,2023-08-05
SWC-1085,6228891940627,Carla Montero Carmona,2024-03-11
PYN-2341,5054168242140,Beatriz Chico,2016-08-26
PYN-2341,2899070917798,Dani Cerdá Corominas,2019-02-02
IFK-8604,9267309789775,Cintia María Jesús Cerdá Guzmán,2017-01-01
IFK-8604,3777210392818,Roque Ferrández Granados,2019-09-13
ALB-3040,4145560890499,Vera Antúnez-Roselló,2016-09-17
ALB-3040,7791561814582,Vanesa Español Jáuregui,2024-11-26
ALB-3040,3055032285729,Pía Nebot Teruel,2023-05-05
FJJ-5980,8101799522383,Efraín Cazorla,2022-06-06
RWX-6537,3183321006223,Benita Almazán,2016-01-10
RWX-6537,8101052624839,Noemí Ariel Cañellas Torrijos,2018-03-01
RFY-6115,2528787963853,Cintia Castillo Gil,2017-06-03
RFY-6115,1914056840903,Anacleto Teobaldo Corominas Fernandez,2016-05-18
RFY-6115,7319723697937,Jeremías Palomo Cisneros,2016-05-30
KFX-2523,6974540175855,Ramona Boix Alvarez,2021-05-08
KFX-2523,5207893602124,Estefanía Iniesta Alcolea,2019-11-15
ZHS-9373,5215272551546,Ale Sosa Bautista,2022-04-28
QDJ-4639,9020066923653,José Luis Bermejo Cervera,2023-09-20
QDJ-4639,6918294149709,Leandro Olivera Giménez,2018-10-13
JSJ-3645,5537770699898,Nilo Múgica Salcedo,2015-03-02
JSJ-3645,5722368635849,Emperatriz Maza Sans,2017-02-21
ODP-1680,1689127728842,Fidel Bolaños Lorenzo,2022-12-03
TFS-5927,2486690275255,Aníbal Bilbao-Elías,2021-05-23
TFS-5927,2054148969777,Santiago Milla Morante,2020-11-21
CWZ-8885,4744356006368,Eusebia Flor Villalobos,2019-06-15
CWZ-8885,2308973120282,Primitivo Borrell,2022-04-09
YMX-4245,8235512447191,Arturo Vergara Hernández,2023-10-22
FCF-8745,5018100434607,Tiburcio Erasmo Carbó Planas,2021-11-02
FCF-8745,9989650562087,Bernarda Atienza Perelló,2022-08-01
HHK-7585,1558898471344,Eli de Salas,2021-09-14
CDB-6044,1067262517065,Odalis Duran Perea,2020-07-31
CDB-6044,4456871904410,María Teresa Mendez-Terrón,2018-02-13
LBK-7607,8124001664022,Chus Escribano Prada,2019-06-29
LBK-7607,3138235186120,Corona Cerro Ledesma,2024-11-14
HOI-3925,4662897692761,Sandalio Aragonés Rodríguez,2019-02-23
BTI-5127,3086329718328,Cloe Sedano Baró,2015-12-28
BTI-5127,1829407883858,Filomena Fuentes Cid,2020-07-31
NKW-5037,8477221961956,Agustina Violeta Ramis Sevilla,2018-08-08
NKW-5037,2831278237735,Juan Rogelio Patiño Mascaró,2022-09-14
FAO-2899,7456357319290,Patricia Nicolás Mayo,2019-06-30
FAO-2899,2431268892573,Pascuala Frutos Viñas,2017-07-20
OPD-1248,5079825753833,Jerónimo Rocamora Carvajal,2023-02-05
OPD-1248,8138211864997,Paola Ayllón Riquelme,2022-01-20
OPD-1248,8207707930292,Flora Rosselló-Nicolás,2022-07-21
QBI-2727,5803276141253,Ligia Hervia,2018-07-14
QBI-2727,8053192262791,Emiliano de Alsina,2021-07-07
QBI-2727,6285323870909,Lorenzo Nicolau-Bernad,2017-08-17
USH-8127,5272990397721,Inés Alemany,2016-01-10
USH-8127,8629644655913,Carlito Ángel Luís,2018-12-24
WXO-1169,9530471571134,Primitiva Diego Menendez,2019-05-26
WXO-1169,4257344663776,Marcia Borja Ropero,2015-06-03
LXF-2652,4539982940237,Esperanza Aragonés Oliver,2017-11-04
LXF-2652,2022345404324,Apolonia Rico-Vilar,2015-06-29
LXF-2652,2766798244593,Atilio Ropero Terrón,2022-12-24
WMR-1568,1154869509933,Godofredo Zorrilla Sancho,2022-05-22
WMR-1568,1871815547198,Dora Loida Sancho Jordán,2019-01-17
WMR-1568,8718119777098,Dolores Montaña,2020-11-15
IVS-9344,1050726374565,Amancio Gaya Nogués,2018-07-15
IVS-9344,3169012620180,Carmina Bou,2022-05-02
IVS-9344,8923086944678,Maxi del Vidal,2024-07-30
ACR-4163,1066649619051,Angelita Sala Agullo,2023-01-22
ACR-4163,1328810819415,Coral de Neira,2019-05-21
JVT-5652,8339747822954,María Del Carmen Ayuso Salas,2021-05-28
JVT-5652,7390982715289,Petrona Lastra Pomares,2021-02-11
IOD-8080,7059914152542,Manu Berrocal-Tejero,2021-08-15
IOD-8080,4993398304523,Heliodoro del Duque,2024-02-10
DDF-4305,2105684648168,Malena Pons Gimenez,2023-05-06
DDF-4305,4834749012878,Josué Puerta-Mesa,2022-10-25
WUK-0046,2571547698519,Albina Durán Soriano,2017-06-16
FTT-0540,8735990465683,Américo Báez Olmedo,2019-09-11
CUT-8781,8440210253112,Roberto Girón Quesada,2015-08-19
CUT-8781,9468293305835,Javiera Montalbán,2015-08-28
DKJ-1099,3825845873281,Angelina Osuna Román,2015-04-24
LUY-2762,7062777258761,Yaiza Arnau-Badía,2015-01-16
LUY-2762,4387071947322,Irma Reina-Murillo,2020-02-09
CHR-6990,7757752469646,Nazario Huerta Ramis,2021-11-08
XYK-0503,2039539914894,Loida Hernandez,2018-01-15
LBY-8714,3960405430497,Onofre Colomer Dueñas,2015-08-25
LBY-8714,5875575850083,Ariadna Castells Osorio,2024-10-01
LBY-8714,9564736310390,Agustina Palma,2017-11-14
LFD-6279,8796736787910,Evelia Ripoll Goicoechea,2017-10-24
LFD-6279,6880749353021,Anita Mas Bartolomé,2020-06-16
LFD-6279,7122638976197,Felicidad de Costa,2017-09-29
IWG-5268,7609321000630,Samu de Prado,2015-07-26
IWG-5268,6576452582681,Maxi Anselmo Trillo Prieto,2016-08-12
IWG-5268,6455309642938,Abigaíl Parejo,2015-06-03
ZVO-7851,1322102640380,Mirta Iñiguez Almeida,2023-12-31
ZVO-7851,7657648688428,Virginia Espada Galan,2019-04-29
ZVO-7851,5677325412981,Itziar Sabina Roselló Abril,2020-12-30
ISY-2565,3237323169763,Baudelio Osuna Pi,2024-04-13
ISY-2565,1056938580478,Jeremías Samper Sancho,2017-05-14
ISY-2565,1070794404273,Jonatan Che Pablo Serra,2021-10-29
