Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
BSG-4943,1627666951814,José María Osuna-Sáenz,Kia,Sportage,2005,3,2
LWC-7646,9129808623174,Gerardo Pellicer-Casado,Hyundai,Santa Fe,2020,0,3
IVA-6071,2057198195155,Clemente del Gámez,Mazda,BT-50,2002,4,1
EWC-6400,4025816205546,Pastor Camacho Giner,Honda,CR-V,2014,3,1
ITE-0097,7183793689157,Claudio de Godoy,Honda,Fit,2021,1,3
IKH-0948,9085218956643,María Carmen Avilés Donoso,Hyundai,Tucson,1996,3,0
OID-0290,6440660969071,Nydia Cerdá Jaume,Kia,Sportage,2000,3,3
JMK-4045,4803090377967,Gerardo Lucena Llorente,Hyundai,Tucson,2012,3,2
ADC-8351,6503536297556,Otilia Grau Cadenas,Kia,Rio,2010,2,1
VUY-2195,3555426036841,Jordana Clavero Córdoba,Toyota,Yaris,2023,3,0
QZZ-4613,2177150054392,Sarita Pla Jódar,Hyundai,Santa Fe,1997,2,2
HBE-9401,1497158896681,Silvestre Anglada-Lamas,Hyundai,Santa Fe,2011,2,2
XZQ-3233,8334486085708,Rosalía Iglesias Estrada,Kia,Rio,2003,1,3
SDJ-8488,6229195380684,Chus Valverde Castejón,Toyota,Yaris,2013,0,0
RRA-0120,1854759253746,Bibiana Saez Aliaga,Mazda,CX-5,2017,3,2
BYV-5199,4268749484671,Alex de Grau,Hyundai,Santa Fe,2001,1,1
SZU-3790,4149335353850,Dan Amando Muñoz Feliu,Kia,Picanto,2009,0,0
TKR-1533,5599243287318,Donato de Sandoval,Kia,Sportage,2021,0,3
ZWM-1385,3576809597202,Isidro Ibán Asenjo Font,Hyundai,Santa Fe,2002,1,2
VUI-7181,2690207705684,Julie Gimenez Ferreras,Mazda,CX-5,1997,3,1
ZAX-4074,4065477692212,Francisco Jose Gil Enríquez,Mazda,3,1997,3,0
FGW-7052,2088842379170,Íngrid de Grande,Toyota,Yaris,2017,0,0
XFV-0500,4383559409250,Guiomar Sastre Torrents,Hyundai,Elantra,2004,3,1
RRZ-4467,5133416710720,Haroldo del Alvarado,Toyota,Yaris,2023,4,3
QRP-8655,3842309041126,Begoña Alcalde Piquer,Toyota,Hilux,2017,5,2
APE-0674,2145730284907,Herminio Gimeno,Hyundai,Accent,2017,3,0
TVE-2718,3733764739649,Guiomar Neira Julián,Mazda,BT-50,2012,0,3
YZY-4950,9244786420419,Alba Torrijos Sanchez,Mazda,CX-5,2020,3,2
KJN-7585,2128606443887,Leocadia Prado Pablo,Toyota,Yaris,2010,2,0
QRB-1313,3847890437259,Dora Delgado Cadenas,Honda,Fit,2015,1,1
MOL-3583,1538457294272,Florencia Molins-Cantero,Kia,Sorento,2002,3,0
NDU-5054,9705356234203,Sabina Carreras-Morán,Mazda,6,2011,1,3
EFE-8324,4049658224544,Angélica Rincón-Narváez,Toyota,Corolla,2004,4,3
WGJ-8494,9480179936871,Lucila Rey-Gutierrez,Mazda,CX-5,2007,1,2
INX-7075,6949869555978,José del Lopez,Honda,Fit,2003,0,1
LZI-7143,1754183416936,Amílcar Barral Cabo,Toyota,RAV4,2006,1,3
SKR-7921,9509771160979,Jerónimo Novoa-Pujol,Kia,Sportage,2017,0,1
IXX-7434,8307004069552,Pepe Múñiz Bárcena,Hyundai,Santa Fe,2012,1,0
