Placa,DPI,NuevoPropietario,Fecha
NCQ-8470,9085411496067,Ángela Campo,2017-07-18
NCQ-8470,7761009375404,Magdalena Ariño Cervantes,2019-07-04
ZTE-8313,9214843587397,Gregorio Gonzalez Medina,2023-03-04
ZTE-8313,1411271169241,Atilio de Vázquez,2022-12-04
ZTE-8313,6381260294196,Ángela Palacios Castejón,2016-03-01
VIN-4503,6600375642414,Reyes Viña Diego,2023-07-21
XUF-1515,4948472721374,Nayara Iniesta Blanca,2015-04-18
XUF-1515,8350505674865,Juan Manuel Jaume Colom,2019-09-19
XUF-1515,5862400442521,José Mesa Roura,2017-08-18
CTO-9879,2759210285377,Andrés Felipe Roselló Iglesias,2015-02-07
CTO-9879,7790761885589,Aníbal Bilbao Expósito,2020-06-20
CTO-9879,1432658081914,Abilio Bautista Méndez,2022-02-28
MTD-9565,7957795399373,Ascensión Cárdenas Zabaleta,2016-09-03
KHM-1250,1582498523910,Tiburcio de Cantón,2018-04-27
KHM-1250,9795393215104,Jose Luis Coll Vall,2024-08-17
KHM-1250,5278117198724,Emigdio Carreras Coll,2022-10-25
DEN-1193,3547314763831,Isaías Echevarría-Sevilla,2021-08-27
DEN-1193,8747667129125,Griselda Uriarte Flor,2022-08-28
DEN-1193,2297216661458,Luciana Belmonte Collado,2016-04-13
LEV-4418,2595718591932,Dafne Montserrat Mate Puig,2017-04-22
LEV-4418,8510346577972,Visitación Díaz,2019-05-20
HWM-0588,3513583212760,Juana Fabiana Campillo Borrell,2023-11-08
IXK-5097,1510293425692,Pascual Ballesteros Macias,2022-10-16
DIF-0615,2450518012026,Rubén del Ferrera,2015-06-15
DIF-0615,6978642090706,Fabiana Susanita Tamarit Medina,2022-01-03
DIF-0615,7022507968847,Asdrubal Sarabia Martín,2019-10-20
UNJ-4100,1684036540228,Gracia Rebollo Sainz,2023-03-11
UNJ-4100,6146661734800,Luciano Amores Bosch,2024-10-22
OOS-1315,7798752019757,Maximiano Tovar Casanovas,2019-02-18
OOS-1315,3945634162483,Íngrid Cano Avilés,2016-08-11
OOS-1315,6835202701210,Yago Franco Vera,2024-03-23
PYZ-2697,1258025331184,Clotilde Cañizares Gual,2016-09-18
PYZ-2697,1028997394009,Dulce Paz Porcel,2021-04-15
HMZ-8003,4309468270828,Ariel Domínguez Aller,2020-02-06
HMZ-8003,9374975968657,Maristela del Godoy,2023-07-04
HMZ-8003,9856600764489,Isidoro Dominguez,2017-06-15
LQC-7777,3519707630239,Juana Pellicer Berenguer,2022-12-27
IXX-2479,1598901981915,Cándida Julie Bonet Pi,2016-12-21
IXX-2479,1791891407517,Nazaret Alcaraz Benavente,2021-02-24
IXX-2479,2290919028304,Amada Martín-Valenzuela,2018-09-26
VYA-1765,1198416839686,Joel Cañete-Fernández,2016-07-19
VYA-1765,1714403334648,Tecla Marianela Sotelo Belmonte,2017-02-01
JMR-9777,5428195701844,Miguel Galindo Moreno,2020-03-21
JMR-9777,7206196016094,Nazaret Mora Vizcaíno,2017-07-01
PYX-0331,6849865718296,Adela Garay,2017-07-15
IXO-0734,7185422286480,Silvestre Avilés,2023-09-12
IXO-0734,6418191018571,Chuy Bou-Recio,2023-06-01
ISY-9892,3423298850090,Teófila Tomás Pol,2015-07-23
ISY-9892,7384189869746,Maite Rivero Becerra,2015-03-18
ISY-9892,1278103204745,Ramiro Huguet Roman,2020-03-24
EWA-2781,5005289962589,Ainoa Alsina Montalbán,2021-12-13
VDB-9443,3166737119396,Pánfilo Morillo-Milla,2022-02-02
VDB-9443,5079875121377,Ramona Noelia Carreras Castrillo,2020-04-20
CEF-9531,5739809576424,Albert de Barranco,2016-06-04
CEF-9531,1572019847630,José Arteaga Cáceres,2016-03-28
WQK-4545,9556106544462,Baudelio Agustín Calvo,2022-05-29
WQK-4545,6003927476411,Mireia Zamorano Torrent,2018-11-07
WQK-4545,9811533439806,Damián Sanchez Cuéllar,2020-02-22
DTT-7855,1852602988531,Rosalinda Manso-Pujadas,2016-03-18
DTT-7855,9354633252367,Bonifacio Araujo,2015-04-13
YSR-0402,6756558977355,Cayetano Córdoba Belda,2018-02-16
BVS-5151,1458535011503,Edelmiro Jordán Alcalá,2018-03-01
BVS-5151,1320568059303,Florinda Riera Hervás,2023-10-26
ZAO-8232,8533961942099,Rosalinda de Mur,2024-02-06
ZAO-8232,7640399968112,María Cristina Calderon Corral,2015-04-11
VOI-3067,2443194017791,Pepe Ferrero-Gallart,2016-02-01
VOI-3067,9059075798795,Silvio Boada Amat,2015-05-16
VOI-3067,8270090967621,Áurea Fonseca Jordán,2018-02-08
GHX-8190,9821566991817,Evaristo Sevillano Recio,2017-04-22
HCW-0392,5596751034711,Jimena Amores Mateo,2020-05-05
HUI-7183,7810686728259,Nadia Machado Carretero,2024-05-12
HUI-7183,4773376911382,Jordana Pomares,2022-09-16
HUI-7183,6619640215846,Sandra del Cazorla,2016-08-19
XUU-7143,7101870678597,Abraham Malo Giner,2017-02-12
XUU-7143,3300655465466,Custodio Nogués Lopez,2019-12-12
KFH-2849,5674785098969,Eusebia Luna Batalla Gomis,2024-07-23
KFH-2849,8548755984059,Glauco Galan Prats,2021-11-24
GQO-4307,4580582990096,Maximino Goicoechea Peinado,2017-12-15
GQO-4307,3435663384143,Benjamín Casas,2023-11-09
GQO-4307,9518729915620,Lola Blazquez Pineda,2023-03-31
WXG-8863,2568882546931,Itziar Franch,2021-06-21
WXG-8863,9713996154637,Heliodoro Arévalo Giralt,2020-09-16
RRG-7515,9476713671235,Gustavo Manrique Plana,2020-01-27
RRG-7515,5004881828663,Lidia Piñeiro Saura,2024-12-20
RRG-7515,6397741125051,Olegario de Nogués,2021-01-10
JXO-1448,7606666661868,Zaira Rovira Bru,2016-10-05
JXO-1448,4441256325415,Felicia Murillo Cabanillas,2023-12-12
JXO-1448,5703272625695,Asdrubal Bauzà Torrijos,2018-07-05
