Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
NCQ-8470,9463375331081,Luisa del Jordán,Mazda,3,2022,0,2
ZTE-8313,8154964541208,Milagros Paredes Carreño,Kia,Sorento,2009,5,3
JBF-1487,5675122535639,Pilar Virginia Guijarro Bermudez,Kia,Sorento,2017,1,0
VIN-4503,8819529343783,Jafet del Amigó,Honda,Fit,2006,0,1
XUF-1515,6304752767018,Florencio Corral Garrido,Kia,Picanto,2020,3,3
CTO-9879,5181835597349,Antonia Arana Ballesteros,Kia,Picanto,2000,4,3
MTD-9565,8553522005473,Lisandro Recio Piña,Toyota,Corolla,1998,5,1
KHM-1250,4636287976487,Samu Rius Cabeza,Toyota,Yaris,2021,1,3
DEN-1193,8231013312111,Felipa Azeneth Galiano Rubio,Hyundai,Elantra,2013,4,3
LEV-4418,6715051133646,Cayetana Vall,Kia,Rio,2006,1,2
CGZ-3217,9274394706840,Valeria del Olivera,Honda,Fit,2008,2,0
HWM-0588,2882772948195,Lidia Peral-Boada,Honda,Fit,2015,4,1
IXK-5097,2427671491589,Guadalupe Olmo-Bonilla,Toyota,Hilux,2004,2,1
DIF-0615,8052991583581,Moisés Aragón Ródenas,Hyundai,Santa Fe,2019,2,3
UNJ-4100,4023434359740,Félix Alcaraz-Rosa,Toyota,Yaris,2024,0,2
OOS-1315,5129380155776,Nacio Carballo Quevedo,Hyundai,Santa Fe,2016,1,3
PYZ-2697,5200136099122,Jose Antonio Torrecilla Galan,Mazda,6,2020,0,2
SQA-7036,7495727448782,Ainoa Llorente-Herrera,Kia,Sportage,2021,4,0
VTM-4730,4954375737258,Gervasio Neira Verdejo,Mazda,3,2019,3,0
HMZ-8003,9611259666330,Cándido Ávila Palau,Toyota,RAV4,2022,4,3
LQC-7777,7774698345927,Samuel Joel Menendez Saavedra,Mazda,3,2012,2,1
IXX-2479,3768967998083,Ángela de Villar,Kia,Sportage,2020,3,3
EVP-0748,6125093584236,Eleuterio del Tejada,Toyota,Corolla,2014,5,0
VYA-1765,4209821858499,Máximo Palmer,Honda,Fit,2023,4,2
JMR-9777,9121385242371,Hilda Cruz Huertas,Honda,CR-V,2024,0,2
RQA-3301,9198834204600,Baudelio Borrás-Palacio,Mazda,CX-5,2000,5,0
YGD-4186,4985268375599,Fabio Vidal Garcés,Honda,Accord,1996,1,0
PYX-0331,4010087397052,Bautista Uriarte Galván,Toyota,Hilux,2020,1,1
IXO-0734,9967140688812,Esperanza Leon Vendrell,Honda,Civic,2014,3,2
ISY-9892,3519965052234,Laura Abella Castellanos,Hyundai,Elantra,1995,2,3
EWA-2781,4800066858771,Sandalio Barberá Arribas,Toyota,RAV4,1995,3,1
