Placa,DPI,NuevoPropietario,Fecha
LEX-9162,8901906738788,Fabián Sanmartín Company,2020-10-13
RSL-6380,7081515615592,Silvestre Duque Robledo,2018-04-13
ZLA-2291,6999507384970,Jose Carlos Mosquera Robledo,2020-11-26
ZLA-2291,9242775961404,Valentina Atienza Luz,2016-01-26
ZLA-2291,6734624086440,Julieta Vicens Guillén,2018-02-17
YKB-3709,1449397065575,Noemí Gárate Soriano,2022-09-26
YKB-3709,8995024270380,Adelina Roldán Durán,2018-09-29
EIP-4496,9231969623587,Francisco Jose Rosado Garcia,2022-03-25
YUU-2131,2184931138981,Luna Moraleda Rosell,2021-05-22
YUU-2131,3896636711740,Vera Benito Soria,2018-11-07
YUU-2131,1344252344528,Purificación Hervás Saez,2024-03-04
BEU-4171,8468560286225,Gracia del Vilalta,2016-08-28
ZKT-5356,8160921590614,Juan José Donoso Carballo,2019-11-20
ZKT-5356,1932349518160,Severino Escribano Duque,2022-06-06
VCX-9923,1633552188306,Jose Miguel Moreno Guillen Oliver,2022-07-09
VCX-9923,5601327561480,Teodoro Lucho Uría Mur,2017-04-13
OIO-7528,6614498321188,Sebastián Gomis,2024-12-25
OIO-7528,7336663832720,Nadia Ledesma Expósito,2017-11-05
IWN-4616,9827236035014,Narciso Segura Torrens,2020-01-28
IWN-4616,9396573502551,Nadia Mesa,2023-11-25
IWN-4616,1841284270768,Toño Torrens Cases,2020-10-11
JFU-7914,1452934979121,Yésica Infante Torralba,2024-02-23
GON-9054,5841359743607,Alfredo Montero Boada,2022-03-20
PKH-2114,3457599088227,Yago Feijoo Saldaña,2024-12-16
PKH-2114,7597524711447,Demetrio Pina Núñez,2021-11-13
PKH-2114,4942916368971,Cándido Ripoll Plaza,2023-02-23
BWR-5678,8881592547562,Candelas Gordillo Palomares,2017-03-24
NPZ-0666,1119454104873,Gilberto Peiró Guerra,2022-10-09
NPZ-0666,4365333273713,Rocío del Salinas,2023-07-11
APP-0094,4708870331205,Nazaret Almansa-Marti,2017-05-01
APP-0094,6284484576930,Selena Marin Carreras,2017-03-17
APP-0094,2184287179078,Zoraida Carrión Figueroa,2019-11-12
DQS-7226,2526786019457,Amada Tenorio-Prats,2017-11-14
DQS-7226,5922892401309,Ágata del Aguilar,2021-08-03
FWS-0041,6492790742341,Florencio Ibarra Díaz,2021-02-26
NAV-0140,5311242287861,Cintia Duque Porta,2021-12-03
DRQ-7410,1263993924780,Gonzalo Ferrer,2023-07-31
DRQ-7410,5443397214418,Santiago Tejedor Gomila,2018-02-20
YRB-3614,7690140870472,Fátima Pereira,2016-03-30
YRB-3614,8002257979290,Felipe Calderon Lozano,2020-09-25
ZEB-3696,9895835631812,Ema Urrutia Checa,2015-05-13
ZEB-3696,1406487113291,Ramón Merino Amorós,2019-08-06
ZEB-3696,7328152236767,Dolores Antón Cervera,2022-08-10
TQY-5795,3345635820073,Héctor Cañete Mulet,2016-04-13
TQY-5795,2943085255270,Ani Folch Pont,2019-03-09
UUA-1336,6416750195692,Isabel Aramburu Talavera,2024-04-04
UUA-1336,5242167227224,Rosario Rocha Vicens,2024-09-16
UUA-1336,8286911027799,Salomón Ferrero Roura,2017-12-17
RHS-9124,8954139723731,Marc Folch Escolano,2022-04-21
RHS-9124,9419655062373,Jonatan Cantero Valenzuela,2022-07-31
CYL-3540,6215848755509,Yaiza Tormo Ferrera,2019-11-29
CYL-3540,4513814382915,Elena Jimena Casado Bru,2018-12-02
CYL-3540,7355295750871,Carmelo Quintanilla Arenas,2016-03-17
XHJ-5288,1883257571594,Gaspar de Peralta,2019-10-13
XHJ-5288,4259602071340,Artemio Company Naranjo,2018-11-13
XHJ-5288,4099170161585,Felipa Gabaldón-Álvaro,2019-11-22
DOO-8692,8956076388744,Valerio Corbacho,2015-02-21
DOO-8692,6689725726785,Herminia Quintanilla Saldaña,2023-02-08
CAH-7316,3708160501938,Julia Requena-Arenas,2018-02-04
CAH-7316,8465838914631,Ricardo Alcalde Amaya,2023-12-18
EDQ-8364,9732094957542,Edelmiro Pavón-Rocamora,2020-08-04
EDQ-8364,8928849059954,Lucía Fabregat Yáñez,2018-10-08
EDQ-8364,3176582438298,Leonardo Barrio Hernando,2019-02-27
GJM-5219,3316339922891,Calixto Company Sanmiguel,2015-03-17
LEO-4719,5177539670898,Candelas Abella Zabala,2024-08-07
NRW-5631,7320949864939,Chus Mulet Amorós,2015-05-08
NRW-5631,4784352214808,Jesús Rico-Roldán,2024-10-23
XQS-8881,2938835856897,Regina Montaña Ramis,2016-12-01
YWV-3077,2185669126884,Cándido Pallarès Jordá,2020-07-23
YWV-3077,8740335447179,Lino Bartolomé Puerta,2018-07-18
YWV-3077,3904056474721,Vanesa Granados,2019-07-31
RYK-6704,3763410610980,Vanesa Ferrández Salamanca,2024-05-11
RYK-6704,4585563188382,Guillermo Anselmo Puga Dalmau,2022-12-17
RYK-6704,9432234165673,Omar Sacristán Cabañas,2023-04-03
DRK-5093,2976396374578,Luisina Parejo Falcón,2020-11-06
DRK-5093,1269821828022,Vera Escudero Valenzuela,2023-10-13
SKA-4329,3737920012260,Baltasar Luján Flor,2020-09-16
SKA-4329,5539303097305,Dulce Sastre Adadia,2021-01-03
VCT-9839,4352539964766,Sol Elisa España Bustamante,2015-10-23
VCT-9839,4398417124248,Zaida Santamaria Berrocal,2019-12-21
WIR-3008,9943777884516,Aristides Pereira Padilla,2017-07-25
WIR-3008,9504763026025,Nacio Victor Herrero Rojas,2017-03-19
WIR-3008,2583264931512,Lupita Ibáñez Mariscal,2016-11-28
NHS-8802,5427035464422,Fidela Rius Mateu,2018-01-25
AQZ-4738,3772203623077,África de Nogués,2018-09-19
AQZ-4738,7869874219744,Valero del Huertas,2017-12-26
XPA-8003,4024825381162,Luz del Torres,2017-06-14
XPA-8003,2734638195488,Pascual Gámez,2016-06-06
FOF-7291,1969577075829,Valeria Mas Barba,2021-01-02
FOF-7291,8186220337000,Adolfo Navas Mate,2022-05-21
FOF-7291,4653397374779,Guadalupe Sanz Sierra,2022-08-02
EKM-5032,7011235747470,Asdrubal Ruiz Checa,2015-01-14
EKM-5032,6024761987258,Yago Vergara Arroyo,2015-03-18
RMW-2250,9794558603064,Domitila Montserrat,2022-01-14
RMW-2250,2036398886432,Telmo Acuña Alba,2021-01-07
RMW-2250,4253276031646,Luis Cabanillas-Bravo,2018-11-08
FDW-6924,4744141429119,Iker Herranz Larrañaga,2020-01-18
FDW-6924,2617831719382,Marisela Mascaró,2017-10-07
PZW-2644,1427926985336,Lucía Baró Soriano,2015-07-31
PZW-2644,3346678392616,Jerónimo Pereira Alsina,2019-01-20
VPQ-2165,9497788684228,Joaquina Palmer Franco,2018-11-21
VPQ-2165,8652778596701,Loreto Guitart Olivares,2019-01-17
NCZ-4552,9951038765136,Jose Antonio Uría-Viñas,2015-12-26
NCZ-4552,2330195807949,Ofelia Posada Salvador,2017-10-04
NCZ-4552,8401477210625,Lázaro Mascaró-Fiol,2016-11-14
HUM-8306,4150747540480,María Soledad Samper Luz,2024-09-21
ZHS-7589,3289269158965,León Falcó,2020-04-25
ZHS-7589,8749349711307,Isaac Jenaro Caro Escolano,2019-05-24
