Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
LEX-9162,6426970191373,Maxi Gonzalez Espada,Toyota,RAV4,2004,5,1
RSL-6380,9083437372223,Cesar Villalobos Piña,Kia,Sportage,2022,4,1
ZLA-2291,9105227887115,Santiago Yuste Gil,Honda,Accord,2023,0,3
SRV-7579,1102295438345,Loreto Acero Agudo,Kia,Picanto,2006,5,0
YKB-3709,1571054762987,Hernán Millán Cantero,Honda,Fit,2016,5,2
EIP-4496,3188554233716,Jenny Gabaldón Montes,Mazda,3,1996,5,1
IDY-5341,8509895433056,Borja Amador Gómez,Honda,CR-V,1995,5,0
YUU-2131,6323861983992,Anna Paula Angulo Noriega,Honda,Civic,2017,5,3
BEU-4171,2531880140822,Pablo Cano,Kia,Sportage,1998,0,1
ZKT-5356,4475536122071,Alondra Torrecilla Somoza,Mazda,6,2012,0,2
VCX-9923,7353954398011,Gerónimo Contreras Pi,Honda,Fit,2005,4,2
ZBD-8619,2334297751780,Leonardo Figueras-Cabeza,Toyota,Hilux,2019,3,0
GUX-8296,3951699434784,Julio Torre Contreras,Toyota,Hilux,2017,5,0
OIO-7528,4237779442354,Narcisa Antón-Saavedra,Mazda,BT-50,2018,5,2
TWD-5988,7743858432896,Desiderio Losa-Morán,Toyota,RAV4,2004,2,0
IWN-4616,7787021280427,Aroa Canales Palmer,Mazda,6,1998,4,3
LXF-6566,3010648298197,Lupe Cerdá,Mazda,BT-50,1999,0,0
JFU-7914,2720216188547,Félix Llanos Moll,Mazda,3,2023,5,1
GON-9054,7612522106984,Matilde del Lara,Hyundai,Accent,2002,2,1
PKH-2114,7405415067541,Fabricio Tudela-Tejera,Toyota,Hilux,1997,2,3
LKV-8766,7710324785393,Emiliana Guijarro Bolaños,Mazda,BT-50,2007,3,0
UQZ-1442,2862492322694,Graciano Morera Valls,Toyota,Corolla,2023,0,0
BWR-5678,2958182727869,Octavio Jover Vila,Honda,Accord,1997,3,1
SGN-3272,3162457213633,Alfredo Quintero-Silva,Toyota,Yaris,2015,1,0
XUU-6803,6768733805174,Blas Menéndez-Melero,Honda,Accord,2021,0,0
